_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,PROFESSOR4,DAY1,TIME1,ROOM1,DAY2,TIME2,ROOM2,DAY3,TIME3,ROOM3,DAY4,TIME4,ROOM4
107,108,INGLES II,A,VIERNES/16-19/F1,,,,PENDIENTE,PENDIENTE,,,,VIERNES,16-19,F1,,,,,,,,,
108,109,INSTRUMENTACION MEDICA,A,MIERCOLES/14-17/LAB. DE ELECTRONICA EDIF. G,VIERNES/12-15/LAB. DE ELECTRONICA EDIF. G,,,SOLANGE IVETTE RIVERA MANRIQUE,SOLANGE IVETTE RIVERA MANRIQUE,,,,MIERCOLES,14-17,LAB. DE ELECTRONICA EDIF. G,VIERNES,12-15,LAB. DE ELECTRONICA EDIF. G,,,,,,
109,110,INTRODUCCION A LA METODOLOGIA DE LA INVESTIGACION,A,MIERCOLES/16-19/F7,,,,JOHAN MANUEL ZUNIGA COLLAZOS,JOHAN MANUEL ZUNIGA COLLAZOS,,,,MIERCOLES,16-19,F7,,,,,,,,,
110,111,INVESTIGACION DE OPERACIONES,A,MARTES/12-14/C2,VIERNES/12-14/F5,,,HUETZIN AARON PEREZ OLIVAS,HUETZIN AARON PEREZ OLIVAS,,,,MARTES,12-14,C2,VIERNES,12-14,F5,,,,,,
111,112,LABORATORIO DE ASTRONOMIA,A,LUNES/16-20/AUDITORIO DEL EDIFICIO B,,,,KLAUS-PETER SCHRODER/JUAN PABLO TORRES PAPAQUI,KLAUS-PETER SCHRODER,JUAN PABLO TORRES PAPAQUI,,,LUNES,16-20,AUDITORIO DEL EDIFICIO B,,,,,,,,,
112,113,LABORATORIO DE FENOMENOS DE TRANSPORTE,A,JUEVES/12-16/LAB. DE IQS EDIF. G,,,,PENDIENTE,PENDIENTE,,,,JUEVES,12-16,LAB. DE IQS EDIF. G,,,,,,,,,
113,114,LABORATORIO DE FENOMENOS DE TRANSPORTE,B,VIERNES/12-16/LAB. DE IQS EDIF. G,,,,CHRISTIAN FELIPE RODRIGUEZ ROBLES,CHRISTIAN FELIPE RODRIGUEZ ROBLES,,,,VIERNES,12-16,LAB. DE IQS EDIF. G,,,,,,,,,
114,115,LABORATORIO DE PROCESOS DE SEPARACION,A,MIERCOLES/12-16/LAB. DE IQS EDIF. G,,,,JOSE DE JESUS IBARRA SANCHEZ,JOSE DE JESUS IBARRA SANCHEZ,,,,MIERCOLES,12-16,LAB. DE IQS EDIF. G,,,,,,,,,
115,116,LABORATORIO DE PROCESOS DE SEPARACION,B,LUNES/8-12/LAB. DE IQS,,,,PATRICIA MARIA OLMOS MOYA,PATRICIA MARIA OLMOS MOYA,,,,LUNES,8-12,LAB. DE IQS,,,,,,,,,
116,117,LABORATORIO DE REACTORES,A,MARTES/12-15/LAB. DE IQS EDIF. G,,,,IRAIS AMARANTA QUINTERO ORTEGA,IRAIS AMARANTA QUINTERO ORTEGA,,,,MARTES,12-15,LAB. DE IQS EDIF. G,,,,,,,,,
117,118,LABORATORIO DE SIMULACION DE PROCESOS,A,MIERCOLES/10-12/CENTRO DE COMPUTO 2,SABADO/12-13/ CENTRO DE COMPUTO 2,,,JOSE DE JESUS IBARRA SANCHEZ,JOSE DE JESUS IBARRA SANCHEZ,,,,MIERCOLES,10-12,CENTRO DE COMPUTO 2,SABADO,12-13,CENTRO DE COMPUTO 2,,,,,,
118,119,MATEMATICAS SUPERIORES,A,LUNES/12-14/AUDITORIO G,JUEVES/10-12/AUDITORIO G,VIERNES/12-14/AUDITORIO G,,OWEN PAVEL FERNANDEZ PIEDRA,OWEN PAVEL FERNANDEZ PIEDRA,,,,LUNES,12-14,AUDITORIO G,JUEVES,10-12,AUDITORIO G,VIERNES,12-14,AUDITORIO G,,,
119,120,MATEMATICAS SUPERIORES,B,LUNES/8-10/ F1,MARTES/8-10/F5,JUEVES/8-10/F2,,MA. ISABEL DELGADILLO CANO,MA. ISABEL DELGADILLO CANO,,,,LUNES,8-10,F1,MARTES,8-10,F5,JUEVES,8-10,F2,,,
120,121,MECANICA ANALITICA,A,LUNES/12-14/G1,MIERCOLES/12-14/F8,,,MARCO ANTONIO REYES SANTOS,MARCO ANTONIO REYES SANTOS,,,,LUNES,12-14,G1,MIERCOLES,12-14,F8,,,,,,
121,122,MECANICA CLASICA,A-I,MIERCOLES/8-10/ G1,VIERNES/8-10/G1,"VIERNES/12-14/LAB. DE FISICA CLASICA, EDIFICIO C",,JOSE DE JESUS BERNAL ALVARADO/JOSE ALFREDO SOTO ALVAREZ,JOSE DE JESUS BERNAL ALVARADO,JOSE ALFREDO SOTO ALVAREZ,,,MIERCOLES,8-10,G1,VIERNES,8-10,G1,VIERNES,12-14,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
122,123,MECANICA CLASICA,A-VI,MIERCOLES/8-10/ G1,VIERNES/8-10/G1,"JUEVES/8-10/LAB. DE FISICA CLASICA, EDIFICIO C",,JOSE DE JESUS BERNAL ALVARADO/JOSE SOCORRO GARCIA DIAZ,JOSE DE JESUS BERNAL ALVARADO,JOSE SOCORRO GARCIA DIAZ,,,MIERCOLES,8-10,G1,VIERNES,8-10,G1,JUEVES,8-10,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
123,124,MECANICA CLASICA,B-II,MARTES/12-14/F2,JUEVES/12-14/F2,"MIERCOLES/12-14/LAB. DE FISICA CLASICA, EDIFICIO C",,JULIAN MEJIA MORALES/ EDGAR VALENCIA RODRIGUEZ,JULIAN MEJIA MORALES,EDGAR VALENCIA RODRIGUEZ,,,MARTES,12-14,F2,JUEVES,12-14,F2,MIERCOLES,12-14,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
124,125,MECANICA CLASICA,C-IV,MIERCOLES/10-12/F9,VIERNES/10-12/F1,"VIERNES/8-10/LAB. DE FISICA CLASICA, EDIFICIO C",,PENDIENTE/EDGAR VALENCIA RODRIGUEZ,PENDIENTE,EDGAR VALENCIA RODRIGUEZ,,,MIERCOLES,10-12,F9,VIERNES,10-12,F1,VIERNES,8-10,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
125,126,MECANICA CLASICA,D-III,MARTES/12-14/F7,VIERNES/8-10/F6,"VIERNES/10-12/LAB. DE FISICA CLASICA, EDIFICIO C",,PABLO REYES HERNANDEZ/JOSE SOCORRO GARCIA DIAZ,PABLO REYES HERNANDEZ,JOSE SOCORRO GARCIA DIAZ,,,MARTES,12-14,F7,VIERNES,8-10,F6,VIERNES,10-12,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
126,127,MECANICA CLASICA,E-V,MARTES/17-19/G1,JUEVES/17-19/G1,"MARTES/10-12/LAB. DE FISICA CLASICA, EDIFICIO C",,GEMMA ELIZABETH PEREZ CUELLAR/NATALIA RINCON LONDONO,GEMMA ELIZABETH PEREZ CUELLAR,NATALIA RINCON LONDONO,,,MARTES,17-19,G1,JUEVES,17-19,G1,MARTES,10-12,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
127,128,MECANICA CUANTICA,A,LUNES/8-10/F6,MIERCOLES/8-10/F6,,,OSCAR GERARDO LOAIZA BRITO,OSCAR GERARDO LOAIZA BRITO,,,,LUNES,8-10,F6,MIERCOLES,8-10,F6,,,,,,
128,129,MECANICA CUANTICA,B,MARTES/10-12/G1,JUEVES/10-12/F9,,,JOSE LUIS LUCIO MARTINEZ,JOSE LUIS LUCIO MARTINEZ,,,,MARTES,10-12,G1,JUEVES,10-12,F9,,,,,,
129,130,MECANICA CUANTICA RELATIVISTA,A,LUNES/10-12/SALA DE JUNTAS EDIF. A,JUEVES/8-10/SALA DE JUNTAS  EDIF. A,,,DAVID YVES GHISLAIN DELEPINE,DAVID YVES GHISLAIN DELEPINE,,,,LUNES,10-12,SALA DE JUNTAS EDIF. A,JUEVES,8-10,SALA DE JUNTAS  EDIF. A,,,,,,
130,131,MECANICA DE MEDIOS CONTINUOS,A-I,LUNES/8-10/F5,MIERCOLES/8-10/F1,"MARTES/10-12/LAB. DE TERMODINAMICA, EDIF G",,MANUEL MARTINEZ JIMENEZ/MIGUEL ANGEL SANDOVAL PUENTES,MANUEL MARTINEZ JIMENEZ,MIGUEL ANGEL SANDOVAL PUENTES,,,LUNES,8-10,F5,MIERCOLES,8-10,F1,MARTES,10-12,"LAB. DE TERMODINAMICA, EDIF G",,,
131,132,MECANICA DE MEDIOS CONTINUOS,A-II,LUNES/8-10/F5,MIERCOLES/8-10/F1,"MIERCOLES/10-12/LAB. DE TERMODINAMICA, EDIF. G",,MANUEL MARTINEZ JIMENEZ/MIGUEL ANGEL SANDOVAL PUENTES,MANUEL MARTINEZ JIMENEZ,MIGUEL ANGEL SANDOVAL PUENTES,,,LUNES,8-10,F5,MIERCOLES,8-10,F1,MIERCOLES,10-12,"LAB. DE TERMODINAMICA, EDIF. G",,,
132,133,MECANICA ESTADISTICA,A,LUNES/8-10/F7,MIERCOLES/8-10/F7,,,RAMON CASTANEDA PRIEGO,RAMON CASTANEDA PRIEGO,,,,LUNES,8-10,F7,MIERCOLES,8-10,F7,,,,,,
133,134,MECANICA ESTADISTICA,B,LUNES/10-12/F6,JUEVES/8-10/F6,,,ERICK SARMIENTO GOMEZ,ERICK SARMIENTO GOMEZ,,,,LUNES,10-12,F6,JUEVES,8-10,F6,,,,,,
134,135,MEDICION E INSTRUMENTACION,A,LUNES/8-12/LAB. DE ELECTRONICA EDIF. G,MIERCOLES/10-12/ LAB. DE ELECTRONICA EDIF. G,,,EDUARDO MONTES RAMIREZ,EDUARDO MONTES RAMIREZ,,,,LUNES,8-12,LAB. DE ELECTRONICA EDIF. G,MIERCOLES,10-12,LAB. DE ELECTRONICA EDIF. G,,,,,,
135,136,METODOS NUMERICOS,A,MARTES/10-12/CENTRO DE COMPUTO 1,MIERCOLES/10-12/CENTRO DE COMPUTO 1,VIERNES/10-12/ CENTRO DE COMPUTO 1,,KARLA ADRIANA ALAMO MARTINEZ,KARLA ADRIANA ALAMO MARTINEZ,,,,MARTES,10-12,CENTRO DE COMPUTO 1,MIERCOLES,10-12,CENTRO DE COMPUTO 1,VIERNES,10-12,CENTRO DE COMPUTO 1,,,
