_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,PROFESSOR4,DAY1,TIME1,ROOM1,DAY2,TIME2,ROOM2,DAY3,TIME3,ROOM3,DAY4,TIME4,ROOM4
84,85,"FLUIDOS, ONDAS Y TEMPERATURA",C-IV,MIERCOLES/12-14/F6,JUEVES/12-14/F6,"MARTES/12-14/LAB. DE TERMODINAMICA, EDIF. G",,EDGAR IVAN PRECIADO GOVEA/JAIVER CHICANGANA CIFUENTES,EDGAR IVAN PRECIADO GOVEA,JAIVER CHICANGANA CIFUENTES,,,MIERCOLES,12-14,F6,JUEVES,12-14,F6,MARTES,12-14,"LAB. DE TERMODINAMICA, EDIF. G",,,
85,86,"FLUIDOS, ONDAS Y TEMPERATURA",C-VI,MIERCOLES/12-14/F6,JUEVES/12-14/F6,"LUNES/8-10/LAB. DE TERMODINAMICA, EDIF. G",,EDGAR IVAN PRECIADO GOVEA/JAIVER CHICANGANA CIFUENTES,EDGAR IVAN PRECIADO GOVEA,JAIVER CHICANGANA CIFUENTES,,,MIERCOLES,12-14,F6,JUEVES,12-14,F6,LUNES,8-10,"LAB. DE TERMODINAMICA, EDIF. G",,,
86,87,"FLUIDOS, ONDAS Y TEMPERATURA",C-VII,MIERCOLES/12-14/F6,JUEVES/12-14/F6,"VIERNES/12-14/LAB. DE TERMODINAMICA, EDIF. G",,EDGAR IVAN PRECIADO GOVEA/PENDIENTE,EDGAR IVAN PRECIADO GOVEA,PENDIENTE,,,MIERCOLES,12-14,F6,JUEVES,12-14,F6,VIERNES,12-14,"LAB. DE TERMODINAMICA, EDIF. G",,,
87,88,"FLUIDOS, ONDAS Y TEMPERATURA",D-V,MARTES/12-14/F6,VIERNES/12-14/F6,"JUEVES/12-14/ LAB. DE TERMODINAMICA, EDIF. G",,NATALIA RINCON LONDONO/LUIS SALVADOR VALLE GARCIA,NATALIA RINCON LONDONO,LUIS SALVADOR VALLE GARCIA,,,MARTES,12-14,F6,VIERNES,12-14,F6,JUEVES,12-14,"LAB. DE TERMODINAMICA, EDIF. G",,,
88,89,"FLUIDOS, ONDAS Y TEMPERATURA",D-VI,MARTES/12-14/F6,VIERNES/12-14/F6,"LUNES/8-10/LAB. DE TERMODINAMICA, EDIF. G",,NATALIA RINCON LONDONO/JAIVER CHICANGANA CIFUENTES,NATALIA RINCON LONDONO,JAIVER CHICANGANA CIFUENTES,,,MARTES,12-14,F6,VIERNES,12-14,F6,LUNES,8-10,"LAB. DE TERMODINAMICA, EDIF. G",,,
89,90,FUNCIONES ESPECIALES,A,MARTES/8-10/F2,VIERNES/8-10/F7,,,JOSE LUIS LOPEZ PICON,JOSE LUIS LOPEZ PICON,,,,MARTES,8-10,F2,VIERNES,8-10,F7,,,,,,
90,91,FUNDAMENTOS DE PROCESAMIENTO DIGITAL DE IMAGENES,A,MARTES/17-19/ CENTRO DE COMPUTO 2,VIERNES/17-19/CENTRO DE COMPUTO 2,,,ARTURO GONZALEZ VEGA,ARTURO GONZALEZ VEGA,,,,MARTES,17-19,CENTRO DE COMPUTO 2,VIERNES,17-19,CENTRO DE COMPUTO 2,,,,,,
91,92,FUNDAMENTOS DE PROCESAMIENTO DIGITAL DE SENALES,A,MARTES/8-10/CENTRO DE COMPUTO 2,JUEVES/8-10/CENTRO DE COMPUTO 2,,,ARTURO GONZALEZ VEGA,ARTURO GONZALEZ VEGA,,,,MARTES,8-10,CENTRO DE COMPUTO 2,JUEVES,8-10,CENTRO DE COMPUTO 2,,,,,,
92,93,FUNDAMENTOS DE PROCESAMIENTO DIGITAL DE SENALES,B,SABADO/10-14/ CENTRO DE COMPUTO 1,,,,MANUEL SERVIN GUIRADO,MANUEL SERVIN GUIRADO,,,,SABADO,10-14,CENTRO DE COMPUTO 1,,,,,,,,,
93,94,FUNDAMENTOS FILOSOFICO-EPISTEMOLOGICOS,A,VIERNES/15-18/G1,,,,JOSE GUSTAVO SAMANO DAVILA,JOSE GUSTAVO SAMANO DAVILA,,,,VIERNES,15-18,G1,,,,,,,,,
94,95,GEOMETRIA DIFERENCIAL,A,MARTES/15-17/SALA DE JUNTAS EDIF. B,JUEVES/15-17/ SALA DE JUNTAS EDIF. B,,,CARLOS ALBERTO VAQUERA ARAUJO,CARLOS ALBERTO VAQUERA ARAUJO,,,,MARTES,15-17,SALA DE JUNTAS EDIF. B,JUEVES,15-17,SALA DE JUNTAS EDIF. B,,,,,,
95,96,HERRAMIENTAS INFORMATICAS Y GESTION DE LA INFORMACION,A,LUNES/12-15/ CENTRO DE COMPUTO 1,,,,MIGUEL ANGEL MANCILLA MORELOS,MIGUEL ANGEL MANCILLA MORELOS,,,,LUNES,12-15,CENTRO DE COMPUTO 1,,,,,,,,,
96,97,HERRAMIENTAS INFORMATICAS Y GESTION DE LA INFORMACION,B,LUNES/8-11/ CENTRO DE COMPUTO 2,,,,PENDIENTE,PENDIENTE,,,,LUNES,8-11,CENTRO DE COMPUTO 2,,,,,,,,,
97,98,INGENIERIA AMBIENTAL DE LA ATMOSFERA,A,LUNES/17-19/F2,MIERCOLES/17-19/F2,,,EDGAR VAZQUEZ NUNEZ,EDGAR VAZQUEZ NUNEZ,,,,LUNES,17-19,F2,MIERCOLES,17-19,F2,,,,,,
98,99,INGENIERIA CLINICA,A,"LUNES/17-19/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA, EDIF. F","MIERCOLES/17-19/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA, EDIF. F","VIERNES/17-19/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA, EDIF. F",,JOSE GONZALEZ CRUZ,JOSE GONZALEZ CRUZ,,,,LUNES,17-19,"LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA, EDIF. F",MIERCOLES,17-19,"LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA, EDIF. F",VIERNES,17-19,"LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA, EDIF. F",,,
99,100,INGENIERIA DE CALOR,A,LUNES/17-19/F1,MIERCOLES/17-19/F1,,,JOSE DE JESUS IBARRA SANCHEZ,JOSE DE JESUS IBARRA SANCHEZ,,,,LUNES,17-19,F1,MIERCOLES,17-19,F1,,,,,,
100,101,INGENIERIA DE CONTROL,A,MIERCOLES/12-14/LAB. DE ELECTRONICA EDIF. G,VIERNES/8-12/LAB. DE ELECTRONICA EDIF. G,,,HUETZIN AARON PEREZ OLIVAS,HUETZIN AARON PEREZ OLIVAS,,,,MIERCOLES,12-14,LAB. DE ELECTRONICA EDIF. G,VIERNES,8-12,LAB. DE ELECTRONICA EDIF. G,,,,,,
101,102,INGENIERIA DE CONTROL DE PROCESOS,A,MARTES/10-12/C3,VIERNES/10-12/C3,,,CHRISTIAN FELIPE RODRIGUEZ ROBLES,CHRISTIAN FELIPE RODRIGUEZ ROBLES,,,,MARTES,10-12,C3,VIERNES,10-12,C3,,,,,,
102,103,INGENIERIA DE FLUIDOS,A,LUNES/10-12/F9,MIERCOLES/12-14/C3,,,BIRZABTH MENDOZA NOVELO,BIRZABTH MENDOZA NOVELO,,,,LUNES,10-12,F9,MIERCOLES,12-14,C3,,,,,,
103,104,INGENIERIA DE PROYECTOS,A,LUNES/15-17/CENTRO DE COMPUTO 2,MIERCOLES/15-18/CENTRO DE COMPUTO 2,,,IRAIS AMARANTA QUINTERO ORTEGA,IRAIS AMARANTA QUINTERO ORTEGA,,,,LUNES,15-17,CENTRO DE COMPUTO 2,MIERCOLES,15-18,CENTRO DE COMPUTO 2,,,,,,
104,105,INGENIERIA DE REACTORES HETEROGENEOS,A,MARTES/15-17/G2,JUEVES/15-17/G1,,,JORGE ADRIAN BOTELLO RUEDA,JORGE ADRIAN BOTELLO RUEDA,,,,MARTES,15-17,G2,JUEVES,15-17,G1,,,,,,
105,106,INGENIERIA DE REACTORES HOMOGENEOS,A,LUNES/8-10/F2,JUEVES/8-10/F5,,,JOSE FERNANDO HERNANDEZ RODRIGUEZ,JOSE FERNANDO HERNANDEZ RODRIGUEZ,,,,LUNES,8-10,F2,JUEVES,8-10,F5,,,,,,
106,107,INGENIERIA ECONOMICA,A,VIERNES/12-15/ C2,,,,JUAN FRANCISCO RAYAS ROJAS,JUAN FRANCISCO RAYAS ROJAS,,,,VIERNES,12-15,C2,,,,,,,,,
107,108,INGLES I,A,LUNES/14-15:30/ AUDITORIO DEL EDIF. G,MIERCOLES/14-15:30/ F7,,,DENIA NAVARRO VILLAFANA,DENIA NAVARRO VILLAFANA,,,,LUNES,14-15:30,AUDITORIO DEL EDIF. G,MIERCOLES,14-15:30,F7,,,,,,
108,109,INGLES I,B,VIERNES/15-18/F1,,,,ISELA SICARU REGALADO ALVARADO,ISELA SICARU REGALADO ALVARADO,,,,VIERNES,15-18,F1,,,,,,,,,
109,110,INGLES II,A,MARTES/14-16/G1,JUEVES/14-15/G1,,,ISELA SICARU REGALADO ALVARADO,ISELA SICARU REGALADO ALVARADO,,,,MARTES,14-16,G1,JUEVES,14-15,G1,,,,,,
110,111,INSTRUMENTACION MEDICA,A,MIERCOLES/14-17/LAB. DE ELECTRONICA EDIF. G,VIERNES/12-15/LAB. DE ELECTRONICA EDIF. G,,,SOLANGE IVETTE RIVERA MANRIQUE,SOLANGE IVETTE RIVERA MANRIQUE,,,,MIERCOLES,14-17,LAB. DE ELECTRONICA EDIF. G,VIERNES,12-15,LAB. DE ELECTRONICA EDIF. G,,,,,,
111,112,INTRODUCCION A LA METODOLOGIA DE LA INVESTIGACION,A,MIERCOLES/16-19/F7,,,,PENDIENTE,PENDIENTE,,,,MIERCOLES,16-19,F7,,,,,,,,,
112,113,INVESTIGACION DE OPERACIONES,A,MARTES/12-14/C2,VIERNES/12-14/F5,,,PENDIENTE,PENDIENTE,,,,MARTES,12-14,C2,VIERNES,12-14,F5,,,,,,
113,114,LABORATORIO DE ASTRONOMIA,A,LUNES/16-20/AUDITORIO DEL EDIF. B,,,,KLAUS PETER SCHRODER,KLAUS PETER SCHRODER,,,,LUNES,16-20,AUDITORIO DEL EDIF. B,,,,,,,,,
114,115,LABORATORIO DE FENOMENOS DE TRANSPORTE,A,JUEVES/12-16/LAB. DE IQS EDIF. G,,,,SANTIAGO GUTIERREZ VARGAS,SANTIAGO GUTIERREZ VARGAS,,,,JUEVES,12-16,LAB. DE IQS EDIF. G,,,,,,,,,
115,116,LABORATORIO DE FENOMENOS DE TRANSPORTE,B,VIERNES/12-16/LAB. DE IQS EDIF. G,,,,ANDREA CEJA FERNANDEZ,ANDREA CEJA FERNANDEZ,,,,VIERNES,12-16,LAB. DE IQS EDIF. G,,,,,,,,,
116,117,LABORATORIO DE PROCESOS DE SEPARACION,A,MIERCOLES/12-16/LAB. DE IQS EDIF. G,,,,SANTIAGO GUTIERREZ VARGAS,SANTIAGO GUTIERREZ VARGAS,,,,MIERCOLES,12-16,LAB. DE IQS EDIF. G,,,,,,,,,
117,118,LABORATORIO DE PROCESOS DE SEPARACION,B,LUNES/8-12/LAB. DE IQS,,,,CHRISTIAN FELIPE RODRIGUEZ ROBLES,CHRISTIAN FELIPE RODRIGUEZ ROBLES,,,,LUNES,8-12,LAB. DE IQS,,,,,,,,,
118,119,LABORATORIO DE REACTORES,A,MARTES/12-15/LAB. DE IQS EDIF. G,,,,IRAIS AMARANTA QUINTERO ORTEGA,IRAIS AMARANTA QUINTERO ORTEGA,,,,MARTES,12-15,LAB. DE IQS EDIF. G,,,,,,,,,
119,120,LABORATORIO DE SIMULACION DE PROCESOS,A,MIERCOLES/10-12/CENTRO DE COMPUTO 2,SABADO/12-13/ CENTRO DE COMPUTO 2,,,JOSE DE JESUS IBARRA SANCHEZ,JOSE DE JESUS IBARRA SANCHEZ,,,,MIERCOLES,10-12,CENTRO DE COMPUTO 2,SABADO,12-13,CENTRO DE COMPUTO 2,,,,,,
120,121,MATEMATICAS SUPERIORES,A,LUNES/12-14/AUDITORIO G,JUEVES/10-12/AUDITORIO G,VIERNES/12-14/AUDITORIO G,,PABLO REYES HERNANDEZ,PABLO REYES HERNANDEZ,,,,LUNES,12-14,AUDITORIO G,JUEVES,10-12,AUDITORIO G,VIERNES,12-14,AUDITORIO G,,,
121,122,MATEMATICAS SUPERIORES,B,LUNES/8-10/ F1,MARTES/8-10/F5,JUEVES/8-10/F2,,PENDIENTE,PENDIENTE,,,,LUNES,8-10,F1,MARTES,8-10,F5,JUEVES,8-10,F2,,,
122,123,MECANICA ANALITICA,A,LUNES/12-14/G1,MIERCOLES/12-14/F8,,,LUIS ARTURO URENA LOPEZ,LUIS ARTURO URENA LOPEZ,,,,LUNES,12-14,G1,MIERCOLES,12-14,F8,,,,,,
123,124,MECANICA CLASICA,A-I,MIERCOLES/8-10/ G1,VIERNES/8-10/G1,"VIERNES/12-14/LAB. DE FISICA CLASICA, EDIFICIO C",,JOSE DE JESUS BERNAL ALVARADO/JOSE MIGUEL RAMOS MORENO,JOSE DE JESUS BERNAL ALVARADO,JOSE MIGUEL RAMOS MORENO,,,MIERCOLES,8-10,G1,VIERNES,8-10,G1,VIERNES,12-14,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
124,125,MECANICA CLASICA,A-VI,MIERCOLES/8-10/ G1,VIERNES/8-10/G1,"JUEVES/8-10/LAB. DE FISICA CLASICA, EDIFICIO C",,JOSE DE JESUS BERNAL ALVARADO/NATALIA RINCON LONDONO,JOSE DE JESUS BERNAL ALVARADO,NATALIA RINCON LONDONO,,,MIERCOLES,8-10,G1,VIERNES,8-10,G1,JUEVES,8-10,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
125,126,MECANICA CLASICA,B-II,MARTES/12-14/F2,JUEVES/12-14/F2,"MIERCOLES/12-14/LAB. DE FISICA CLASICA, EDIFICIO C",,FRANCISCO ALARCON OSEGUERA/ANGELICA HERNANDEZ RAYAS,FRANCISCO ALARCON OSEGUERA,ANGELICA HERNANDEZ RAYAS,,,MARTES,12-14,F2,JUEVES,12-14,F2,MIERCOLES,12-14,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
126,127,MECANICA CLASICA,C-IV,MIERCOLES/10-12/F9,VIERNES/10-12/F1,"VIERNES/8-10/LAB. DE FISICA CLASICA, EDIFICIO C",,ERICK SARMIENTO GOMEZ/JOSE SOCORRO GARCIA DIAZ,ERICK SARMIENTO GOMEZ,JOSE SOCORRO GARCIA DIAZ,,,MIERCOLES,10-12,F9,VIERNES,10-12,F1,VIERNES,8-10,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
127,128,MECANICA CLASICA,D-III,MARTES/12-14/F7,VIERNES/8-10/F6,"VIERNES/10-12/LAB. DE FISICA CLASICA, EDIFICIO C",,ARGELIA BERNAL BAUTISTA/JOSE MIGUEL RAMOS MORENO,ARGELIA BERNAL BAUTISTA,JOSE MIGUEL RAMOS MORENO,,,MARTES,12-14,F7,VIERNES,8-10,F6,VIERNES,10-12,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
128,129,MECANICA CLASICA,E-V,MARTES/17-19/G1,JUEVES/17-19/G1,"MARTES/10-12/LAB. DE FISICA CLASICA, EDIFICIO C",,FRANCISCO XAVIER LINARES CEDENO/NATALIA RINCON LONDONO,FRANCISCO XAVIER LINARES CEDENO,NATALIA RINCON LONDONO,,,MARTES,17-19,G1,JUEVES,17-19,G1,MARTES,10-12,"LAB. DE FISICA CLASICA, EDIFICIO C",,,
129,130,MECANICA CUANTICA,A,LUNES/8-10/F6,MIERCOLES/8-10/F6,,,JOSE LUIS LUCIO MARTINEZ,JOSE LUIS LUCIO MARTINEZ,,,,LUNES,8-10,F6,MIERCOLES,8-10,F6,,,,,,
130,131,MECANICA CUANTICA,B,MARTES/10-12/G1,JUEVES/10-12/F9,,,MAURO NAPSUCIALE MENDIVIL,MAURO NAPSUCIALE MENDIVIL,,,,MARTES,10-12,G1,JUEVES,10-12,F9,,,,,,
131,132,MECANICA CUANTICA RELATIVISTA,A,LUNES/10-12/SALA DE JUNTAS EDIF. A,JUEVES/8-10/SALA DE JUNTAS  EDIF. A,,,DAVID Y. G. DELEPINE,DAVID Y. G. DELEPINE,,,,LUNES,10-12,SALA DE JUNTAS EDIF. A,JUEVES,8-10,SALA DE JUNTAS  EDIF. A,,,,,,
132,133,MECANICA DE MEDIOS CONTINUOS,A-I,LUNES/8-10/F5,MIERCOLES/8-10/F1,"MARTES/10-12/LAB. DE TERMODINAMICA, EDIF G",,ALEJANDRO GIL-VILLEGAS MONTIEL,ALEJANDRO GIL-VILLEGAS MONTIEL,,,,LUNES,8-10,F5,MIERCOLES,8-10,F1,MARTES,10-12,"LAB. DE TERMODINAMICA, EDIF G",,,
133,134,MECANICA DE MEDIOS CONTINUOS,A-II,LUNES/8-10/F5,MIERCOLES/8-10/F1,"MIERCOLES/10-12/LAB. DE TERMODINAMICA, EDIF. G",,ALEJANDRO GIL-VILLEGAS MONTIEL,ALEJANDRO GIL-VILLEGAS MONTIEL,,,,LUNES,8-10,F5,MIERCOLES,8-10,F1,MIERCOLES,10-12,"LAB. DE TERMODINAMICA, EDIF. G",,,
134,135,MECANICA ESTADISTICA,A,LUNES/8-10/F7,MIERCOLES/8-10/F7,,,RAMON CASTANEDA PRIEGO,RAMON CASTANEDA PRIEGO,,,,LUNES,8-10,F7,MIERCOLES,8-10,F7,,,,,,
135,136,MECANICA ESTADISTICA,B,LUNES/10-12/F6,JUEVES/8-10/F6,,,JOSE TORRES ARENAS,JOSE TORRES ARENAS,,,,LUNES,10-12,F6,JUEVES,8-10,F6,,,,,,
136,137,MEDICION E INSTRUMENTACION,A,LUNES/8-12/LAB. DE ELECTRONICA EDIF. G,MIERCOLES/10-12/ LAB. DE ELECTRONICA EDIF. G,,,SOLANGE IVETTE RIVERA MANRIQUE,SOLANGE IVETTE RIVERA MANRIQUE,,,,LUNES,8-12,LAB. DE ELECTRONICA EDIF. G,MIERCOLES,10-12,LAB. DE ELECTRONICA EDIF. G,,,,,,
137,138,METODOS DE PREPARACION DE NANOMATERIALES,A,MARTES/17-19/F8,JUEVES/17-19/F8,,,CHRISTIAN GOMEZ SOLIS/LAURA ELENA PUENTES PRADO,CHRISTIAN GOMEZ SOLIS,LAURA ELENA PUENTES PRADO,,,MARTES,17-19,F8,JUEVES,17-19,F8,,,,,,
138,139,METODOS NUMERICOS,A,MARTES/10-12/CENTRO DE COMPUTO 1,MIERCOLES/10-12/CENTRO DE COMPUTO 1,VIERNES/10-12/ CENTRO DE COMPUTO 1,,FRANCISCO SASTRE CARMONA,FRANCISCO SASTRE CARMONA,,,,MARTES,10-12,CENTRO DE COMPUTO 1,MIERCOLES,10-12,CENTRO DE COMPUTO 1,VIERNES,10-12,CENTRO DE COMPUTO 1,,,
139,140,METODOS NUMERICOS,B,MARTES/15-17/CENTRO DE COMPUTO 2,JUEVES/15-17/CENTRO DE COMPUTO 2,VIERNES/15-17/CENTRO DE COMPUTO 2,,JOSE ALFREDO SOTO ALVAREZ,JOSE ALFREDO SOTO ALVAREZ,,,,MARTES,15-17,CENTRO DE COMPUTO 2,JUEVES,15-17,CENTRO DE COMPUTO 2,VIERNES,15-17,CENTRO DE COMPUTO 2,,,
140,141,METODOS NUMERICOS,C,LUNES/15-17/ CENTRO DE COMPUTO 1,MIERCOLES/15-17/CENTRO DE COMPUTO 1,VIERNES/15-17/CENTRO DE COMPUTO 1,,ARMANDO ANDRES ROQUE ESTRADA,ARMANDO ANDRES ROQUE ESTRADA,,,,LUNES,15-17,CENTRO DE COMPUTO 1,MIERCOLES,15-17,CENTRO DE COMPUTO 1,VIERNES,15-17,CENTRO DE COMPUTO 1,,,
141,142,METROLOGIA,A,LUNES/15-17/F5,JUEVES/14-16/F7,,,MA. ISABEL DELGADILLO CANO/CARLOS EDUARDO MOLINA GUERRERO,MA. ISABEL DELGADILLO CANO,CARLOS EDUARDO MOLINA GUERRERO,,,LUNES,15-17,F5,JUEVES,14-16,F7,,,,,,
142,143,OPERACIONES UNITARIAS DEL PROCESO DEL CURTIDO,A,MIERCOLES/16-18/LAB. DE CURTIDURIA EDIF. G,"SABADO/12-14/LAB. DE CURTIDURIA, EDIF G",,,JUAN FRANCISCO RAYAS ROJAS,JUAN FRANCISCO RAYAS ROJAS,,,,MIERCOLES,16-18,LAB. DE CURTIDURIA EDIF. G,SABADO,12-14,"LAB. DE CURTIDURIA, EDIF G",,,,,,
143,144,OPTICA,A-I,LUNES/15-17/F9,MIERCOLES/15-17/F9,"JUEVES/10-12/LAB. DE FISICA MODERNA, EDIF. G",,RIGOBERTO CASTRO BELTRAN/SARAI GUERRERO SANTIAGO,RIGOBERTO CASTRO BELTRAN,SARAI GUERRERO SANTIAGO,,,LUNES,15-17,F9,MIERCOLES,15-17,F9,JUEVES,10-12,"LAB. DE FISICA MODERNA, EDIF. G",,,
144,145,OPTICA,A-II,LUNES/15-17/F9,MIERCOLES/15-17/F9,"VIERNES /10-12/LAB. DE FISICA MODERNA, EDIF. G",,RIGOBERTO CASTRO BELTRAN/SARAI GUERRERO SANTIAGO,RIGOBERTO CASTRO BELTRAN,SARAI GUERRERO SANTIAGO,,,LUNES,15-17,F9,MIERCOLES,15-17,F9,VIERNES,10-12,"LAB. DE FISICA MODERNA, EDIF. G",,,
145,146,OPTICA CUANTICA,A,MARTES/15-17/F9,JUEVES/15-17/C3,,,JOSE LUIS LUCIO MARTINEZ,JOSE LUIS LUCIO MARTINEZ,,,,MARTES,15-17,F9,JUEVES,15-17,C3,,,,,,
146,147,OPTICA NO-LINEAL,A,LUNES/15-17/C3,MIERCOLES/15-17/F5,,,LORENA BERENICE VELAZQUEZ IBARRA,LORENA BERENICE VELAZQUEZ IBARRA,,,,LUNES,15-17,C3,MIERCOLES,15-17,F5,,,,,,
147,148,PRINCIPIOS DE OPERACION DE EQUIPO MEDICO,A,SABADO/8-14/LABORATORIO DE REHABILITACIOEN E INNOVACION HOSPITALARIA,,,,JOSE GONZALEZ CRUZ,JOSE GONZALEZ CRUZ,,,,SABADO,8-14,LABORATORIO DE REHABILITACIOEN E INNOVACION HOSPITALARIA,,,,,,,,,
148,149,PROBABILIDAD Y ESTADISTICA,A,MARTES/8-10/AUDITORIO G,JUEVES/8-10/AUDITORIO G,,,LENIN FRANCISCO ESCAMILLA HERRERA,LENIN FRANCISCO ESCAMILLA HERRERA,,,,MARTES,8-10,AUDITORIO G,JUEVES,8-10,AUDITORIO G,,,,,,
149,150,PROBABILIDAD Y ESTADISTICA,B,MIERCOLES/10-12/F6,VIERNES/10-12/F6,,,MARIA GUADALUPE LEON VERDIN,MARIA GUADALUPE LEON VERDIN,,,,MIERCOLES,10-12,F6,VIERNES,10-12,F6,,,,,,
150,151,PROBABILIDAD Y ESTADISTICA,C,MARTES/8-10/F9,VIERNES/8-10/F8,,,MARIA GUADALUPE LEON VERDIN,MARIA GUADALUPE LEON VERDIN,,,,MARTES,8-10,F9,VIERNES,8-10,F8,,,,,,
151,152,PROBABILIDAD Y ESTADISTICA,D,LUNES/12-14/F6,MIERCOLES/12-14/C2,,,FRANCISCO XAVIER LINARES CEDENO,FRANCISCO XAVIER LINARES CEDENO,,,,LUNES,12-14,F6,MIERCOLES,12-14,C2,,,,,,
152,153,PROBLEMAS SOCIALES Y DEBATES CONTEMPORANEOS,A,MARTES/16-19/ AUDITORIO EDIF. G,,,,FERNANDO AGUAS ANGEL,FERNANDO AGUAS ANGEL,,,,MARTES,16-19,AUDITORIO EDIF. G,,,,,,,,,
153,154,PROCESOS DE SEPARACION,A,MARTES/10-12/CENTRO DE COMPUTO 2,JUEVES/10-12/ CENTRO DE COMPUTO 2,,,PATRICIA GARCIA RAMIREZ,PATRICIA GARCIA RAMIREZ,,,,MARTES,10-12,CENTRO DE COMPUTO 2,JUEVES,10-12,CENTRO DE COMPUTO 2,,,,,,
154,155,PROGRAMACION BASICA,A,LUNES/8-10/CENTRO DE COMPUTO 1,MIERCOLES/8-10/CENTRO DE COMPUTO 1,,,ARTURO VEGA GONZALEZ,ARTURO VEGA GONZALEZ,,,,LUNES,8-10,CENTRO DE COMPUTO 1,MIERCOLES,8-10,CENTRO DE COMPUTO 1,,,,,,
155,156,PROGRAMACION BASICA,B,MARTES/12-14/CENTRO DE COMPUTO 1,JUEVES/12-14/CENTRO DE COMPUTO 1,,,LUIS CARLOS PADIERNA GARCIA,LUIS CARLOS PADIERNA GARCIA,,,,MARTES,12-14,CENTRO DE COMPUTO 1,JUEVES,12-14,CENTRO DE COMPUTO 1,,,,,,
156,157,PROGRAMACION BASICA,C,LUNES/12-14/ CENTRO DE COMPUTO 2,VIERNES/12-14/CENTRO DE COMPUTO 2,,,ORLANDO MIGUEL MEDINA CAZARES,ORLANDO MIGUEL MEDINA CAZARES,,,,LUNES,12-14,CENTRO DE COMPUTO 2,VIERNES,12-14,CENTRO DE COMPUTO 2,,,,,,
157,158,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,A,MARTES/12-14/CENTRO DE COMPUTO 2,MIERCOLES/12-14/ CENTRO DE COMPUTO 2,JUEVES/12-14/CENTRO DE COMPUTO 2,,IGNACIO RAUL ROSAS ROMAN,IGNACIO RAUL ROSAS ROMAN,,,,MARTES,12-14,CENTRO DE COMPUTO 2,MIERCOLES,12-14,CENTRO DE COMPUTO 2,JUEVES,12-14,CENTRO DE COMPUTO 2,,,
158,159,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,B,LUNES/10-12/CENTRO DE COMPUTO 1,MARTES/15-17/CENTRO DE COMPUTO 1,JUEVES/15-17/CENTRO DE COMPUTO 1,,LUIS MARTIN GONZALEZ VIDAL,LUIS MARTIN GONZALEZ VIDAL,,,,LUNES,10-12,CENTRO DE COMPUTO 1,MARTES,15-17,CENTRO DE COMPUTO 1,JUEVES,15-17,CENTRO DE COMPUTO 1,,,
159,160,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,C,MARTES/8-10/CENTRO DE COMPUTO 1,JUEVES/8-10/CENTRO DE COMPUTO 1,VIERNES/8-10/CENTRO DE COMPUTO 1,,LUIS MARTIN GONZALEZ VIDAL,LUIS MARTIN GONZALEZ VIDAL,,,,MARTES,8-10,CENTRO DE COMPUTO 1,JUEVES,8-10,CENTRO DE COMPUTO 1,VIERNES,8-10,CENTRO DE COMPUTO 1,,,
160,161,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,D,MIERCOLES/12-14/CENTRO DE COMPUTO 1,JUEVES/10-12/CENTRO DE COMPUTO 1,VIERNES/10-12/CENTRO DE COMPUTO 2,,LUIS CARLOS PADIERNA GARCIA,LUIS CARLOS PADIERNA GARCIA,,,,MIERCOLES,12-14,CENTRO DE COMPUTO 1,JUEVES,10-12,CENTRO DE COMPUTO 1,VIERNES,10-12,CENTRO DE COMPUTO 2,,,
161,162,PROPIEDADES FISICOQUIMICAS,A-I,MARTES/12-14/F8,JUEVES/12-14/C3,VIERNES/12-14/LAB DE QUIMICA EDIF. G,,FERNANDO HERNANDEZ BORJA,FERNANDO HERNANDEZ BORJA,,,,MARTES,12-14,F8,JUEVES,12-14,C3,VIERNES,12-14,LAB DE QUIMICA EDIF. G,,,
162,163,QUIMICA ANALITICA,A-I,MIERCOLES/10-11/F8,VIERNES/10-12/G1,MARTES/10-13/LAB. DE QUIMICA EDIF. F,,JOSE ANTONIO REYES AGUILERA,JOSE ANTONIO REYES AGUILERA,,,,MIERCOLES,10-11,F8,VIERNES,10-12,G1,MARTES,10-13,LAB. DE QUIMICA EDIF. F,,,
