_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,PROFESSOR4,DAY1,TIME1,ROOM1,DAY2,TIME2,ROOM2,DAY3,TIME3,ROOM3,DAY4,TIME4,ROOM4
27,28,BIOMECANICA,A-II,MIERCOLES/12-14/AUDITORIO DEL EDIF. B,"JUEVES/12-16/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA, EDIF. F",,,ARTURO VEGA GONZALEZ/GEORFREY HUMBERTO ISRAEL MAURY CUNA/ARGELIA ROSILLO DE LA TORRE,ARTURO VEGA GONZALEZ,GEORFREY HUMBERTO ISRAEL MAURY CUNA,ARGELIA ROSILLO DE LA TORRE,,MIERCOLES,12-14,AUDITORIO DEL EDIF. B,JUEVES,12-16,"LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA, EDIF. F",,,,,,
28,29,BIOQUIMICA,A-I,MARTES/10-11/F9,MIERCOLES/10-11/AUDITORIO DEL EDIF. G,VIERNES/11-12/F7,VIERNES/8-11/LAB. DE BIOLOGIA EDIF. G,LAURA EDITH CASTELLANO TORRES,LAURA EDITH CASTELLANO TORRES,,,,MARTES,10-11,F9,MIERCOLES,10-11,AUDITORIO DEL EDIF. G,VIERNES,11-12,F7,VIERNES,8-11,LAB. DE BIOLOGIA EDIF. G
29,30,BIOSEGURIDAD,A,LUNES/11-13/C3,JUEVES/8-10/C3,,,ARGELIA ROSILLO DE LA TORRE,ARGELIA ROSILLO DE LA TORRE,,,,LUNES,11-13,C3,JUEVES,8-10,C3,,,,,,
30,31,BIOTECNOLOGIA,A,LUNES/15-18/G2,"JUEVES/12-15/LAB. DE BIOLOGIA, EDIF. G",,,HUETZIN AARON PEREZ OLIVAS,HUETZIN AARON PEREZ OLIVAS,,,,LUNES,15-18,G2,JUEVES,12-15,"LAB. DE BIOLOGIA, EDIF. G",,,,,,
31,32,CALCULO DE VARIAS VARIABLES,A,MARTES/8-10/F8,JUEVES/8-10/F8,,,VICENTE SIERRA ROSAS,VICENTE SIERRA ROSAS,,,,MARTES,8-10,F8,JUEVES,8-10,F8,,,,,,
32,33,CALCULO DE VARIAS VARIABLES,B,LUNES/15-17/F8,MIERCOLES/15-17/F8,,,PENDIENTE,PENDIENTE,,,,LUNES,15-17,F8,MIERCOLES,15-17,F8,,,,,,
33,34,CALCULO DE VARIAS VARIABLES,C,MARTES/15-17/F5,JUEVES/15-17/F5,,,CARSTEN HOLTFORT,CARSTEN HOLTFORT,,,,MARTES,15-17,F5,JUEVES,15-17,F5,,,,,,
34,35,CALCULO DIFERENCIAL,A,LUNES/10-12/F1,MIERCOLES/10-12/F1,,,LORENA BERENICE VELAZQUEZ IBARRA,LORENA BERENICE VELAZQUEZ IBARRA,,,,LUNES,10-12,F1,MIERCOLES,10-12,F1,,,,,,
35,36,CALCULO DIFERENCIAL,B,MARTES/10-12/F2,JUEVES/10-12/F2,,,MIGUEL ANGEL VALLEJO HERNANDEZ,MIGUEL ANGEL VALLEJO HERNANDEZ,,,,MARTES,10-12,F2,JUEVES,10-12,F2,,,,,,
36,37,CALCULO DIFERENCIAL,C,MARTES/12-14/AUDITORIO DEL EDIF. G,JUEVES/12-14/F8,,,CARSTEN HOLTFORT,CARSTEN HOLTFORT,,,,MARTES,12-14,AUDITORIO DEL EDIF. G,JUEVES,12-14,F8,,,,,,
37,38,CALCULO DIFERENCIAL,D,MARTES/15-17/F1,JUEVES/15-17/F9,,,PABLO REYES HERNANDEZ,PABLO REYES HERNANDEZ,,,,MARTES,15-17,F1,JUEVES,15-17,F9,,,,,,
38,39,CALCULO DIFERENCIAL,E,LUNES/12-14/C2,JUEVES/12-14/C2,,,AZARAEL ADONAY YEBRA PEREZ,AZARAEL ADONAY YEBRA PEREZ,,,,LUNES,12-14,C2,JUEVES,12-14,C2,,,,,,
39,40,CALCULO INTEGRAL,A,MARTES/10-12/AUDITORIO DEL EDIF. B,JUEVES/10-12/ C2,,,GEORFREY HUMBERTO ISRAEL MAURY CUNA,GEORFREY HUMBERTO ISRAEL MAURY CUNA,,,,MARTES,10-12,AUDITORIO DEL EDIF. B,JUEVES,10-12,C2,,,,,,
40,41,CALCULO INTEGRAL,B,MIERCOLES/10-12/F5,VIERNES/10-12/F8,,,EDGAR VALENCIA RODRIGUEZ,EDGAR VALENCIA RODRIGUEZ,,,,MIERCOLES,10-12,F5,VIERNES,10-12,F8,,,,,,
41,42,CALCULO INTEGRAL,C,LUNES/12-14/F2,MIERCOLES/12-14/F2,,,CARSTEN HOLTFORT,CARSTEN HOLTFORT,,,,LUNES,12-14,F2,MIERCOLES,12-14,F2,,,,,,
42,43,CALCULO INTEGRAL,D,MARTES/12-14/F1,JUEVES/12-14/F1,,,MODESTO ANTONIO SOSA AQUINO,MODESTO ANTONIO SOSA AQUINO,,,,MARTES,12-14,F1,JUEVES,12-14,F1,,,,,,
43,44,CALCULO INTEGRAL,E,LUNES/15-17/F2,MIERCOLES/15-17/F2,,,LUIS ARTURO URENA LOPEZ,LUIS ARTURO URENA LOPEZ,,,,LUNES,15-17,F2,MIERCOLES,15-17,F2,,,,,,
44,45,CALCULO INTEGRAL,F,MARTES/15-17/F2,JUEVES/15-17/F2,,,GEORFREY HUMBERTO ISRAEL MAURY CUNA,GEORFREY HUMBERTO ISRAEL MAURY CUNA,,,,MARTES,15-17,F2,JUEVES,15-17,F2,,,,,,
45,46,CALCULO INTEGRAL,G,MIERCOLES/12-14/ F7,VIERNES/12-14/ F7,,,FRANCISCO SASTRE CARMONA,FRANCISCO SASTRE CARMONA,,,,MIERCOLES,12-14,F7,VIERNES,12-14,F7,,,,,,
46,47,CIENCIA DE MATERIALES,A,LUNES/17-19/G1,MIERCOLES/17-19/G1,,,CHRISTIAN GOMEZ SOLIS/JOSE NOE ZAVALA CUELLAR,CHRISTIAN GOMEZ SOLIS,JOSE NOE ZAVALA CUELLAR,,,LUNES,17-19,G1,MIERCOLES,17-19,G1,,,,,,
