index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS
20,BALANCE DE MATERIA Y ENERGÍA ,B,MIÉRCOLES/15-17/F6,VIERNES/15-17F7, , ,JOSÉ ANTONIO REYES AGUILERA
21,BASES FÍSICAS PARA EL DIAGNÓSTICO POR IMÁGENES,A,MARTES/15-18/C2,VIERNES/12-15/C3, , ,MODESTO ANTONIO SOSA AQUINO/ARTURO GONZÁLEZ VEGA/TEODORO CÓRDOVA FRAGA/FRANCISCO MIGUEL VARGAS LUNA
22,BIOESTADÍSTICA,A,LUNES/8-10/F8,VIERNES/8-10/F2, , ,TEODORO CÓRDOVA FRAGA
23,BIOFÍSICA,A,MARTES/8-10/,JUEVES/8-10/, , ,JOSÉ DE JESÚS BERNAL ALVARADO
24,BIOFÍSICA MÉDICA,A,MARTES/10-12/C2,MIÉRCOLES/10-12/C2, , ,MODESTO ANTONIO SOSA AQUINO/VÍCTOR HUGO HERNÁNDEZ GONZÁLEZ
25,BIOLOGÍA CELULAR,A-I,LUNES/10-12/F7,JUEVES/8-9/F9,JUEVES/15-18/LAB. DE BIOLOGÍA EDIF. G, ,SILVIA ALEJANDRA LÓPEZ JUÁREZ
26,BIOLOGÍA CELULAR,B-II,MARTES/12-13/F5,JUEVES/12-14/F7,"MIÉRCOLES/12-15/LAB. DE BIOLOGÍA, EDIF. G", ,GUSTAVO BASURTO ISLAS
27,BIOMECÁNICA,A-I,"LUNES/10-14/LAB. DE BOMECÁNICA, EDIF. C","MIÉRCOLES/12-14/LAB. DE BIOMECÁNICA, EDIF. C", , ,ARTURO VEGA GONZÁLEZ/ARGELIA ROSILLO DE LA TORRE
28,BIOMECÁNICA,A-II,"MIÉRCOLES/12-14/LAB. DE BIOMECÁNICA, EDIF. C","JUEVES/12-16/LAB. DE BIOMECÁNICA, EDIF. C", , ,ARTURO VEGA GONZÁLEZ/ARGELIA ROSILLO DE LA TORRE
29,BIOQUÍMICA ,A-I,MARTES/10-11/F9,MIÉRCOLES/10-11/AUDITORIO DEL EDIF. G,VIERNES/11-12/F7,VIERNES/8-11LAB. DE BIOLOGÍA EDIF. G,LAURA EDITH CASTELLANO TORRES
30,BIOSEGURIDAD,A,LUNES/11-13/C3,JUEVES/8-10/C3, , ,ARGELIA ROSILLO DE LA TORRE
31,BIOTECNOLOGÍA,A,LUNES/15-18/C3,"JUEVES/12-15/LAB. DE BIOLOGÍA, EDIF. G", , ,VÍCTOR HUGO HERNÁNDEZ GONZÁLEZ/SILVIA ALEJANDRA LÓPEZ JUÁREZ
32,CÁLCULO DE VARIAS VARIABLES,A,MARTES/8-10/F8,JUEVES/8-10/F8, , ,JULIO CÉSAR LÓPEZ DOMÍNGUEZ
33,CÁLCULO DE VARIAS VARIABLES,B,LUNES/15-17/F8,MIÉRCOLES/15-17/F8, , , 
34,CÁLCULO DE VARIAS VARIABLES,C,MARTES/15-17/F5,JUEVES/15-17/F5, , ,LUIS ARTURO UREÑA LÓPEZ
35,CÁLCULO DIFERENCIAL,A,LUNES/10-12/F1,MIÉRCOLES/10-12/F1, , ,MIGUEL ÁNGEL VALLEJO HERNÁNDEZ
36,CÁLCULO DIFERENCIAL,B,MARTES/10-12/F2,JUEVES/10-12/F2, , ,LORENA BERENICE VELÁZQUEZ IBARRA
37,CÁLCULO DIFERENCIAL,C,MARTES/12-14/AUDITORIO DEL EDIF. G,JUEVES/12-14/F8, , ,LORENA BERENICE VELÁZQUEZ IBARRA
38,CÁLCULO DIFERENCIAL,D,MARTES/15-17/SALA 921 EDIFICIO F DEL CIO,JUEVES/15-17/SALA 921 EDIFICIO F DEL CIO, , ,MOISÉS CYWIAK 
39,CÁLCULO DIFERENCIAL,E,LUNES/12-14/C2,JUEVES/12-14/C2, , ,CARSTEN HOLTFORT 
40,CÁLCULO INTEGRAL ,A,MARTES/10-12/AUDITORIO DEL EDIF. B,JUEVES/10-12/ C2, , ,JOSÉ SOCORRO GARCÍA DÍAZ
41,CÁLCULO INTEGRAL ,B,MIÉRCOLES/10-12/F5,VIERNES/10-12/F8, , ,CARSTEN HOLTFORT
42,CÁLCULO INTEGRAL ,C,LUNES/12-14/F2,MIÉRCOLES/12-14/F2, , ,ETNA DAFNE YÁÑEZ ROLDÁN
43,CÁLCULO INTEGRAL ,D,MARTES/12-14/F1,JUEVES/12-14/F1, , ,MODESTO ANTONIO SOSA AQUINO
44,CÁLCULO INTEGRAL ,E,LUNES/15-17/F2,MIÉRCOLES/15-17/F2, , ,FRANCISCO SASTRE CARMONA
45,CÁLCULO INTEGRAL ,F,MARTES/15-17F2,JUEVES/15-17/F2, , ,FRANCISCO SASTRE CARMONA
46,CÁLCULO INTEGRAL ,G,MIÉRCOLES/12-14/ F7,VIERNES/12-14/ F7, , , 
47,CINÉTICA QUÍMICA Y CATÁLISIS,A-I,LUNES/12-14/F9,JUEVES/9-10/F9,MARTES/8-11/LAB. DE QUÍMICA EDIF. G, , 
48,COSMOLOGÍA,A,MARTES/17-19/ SALA DE JUNTAS EDIF. B,VIERNES/ 17-19//SALA DE JUNTAS EDIF. B, , ,ALMA XÓCHITL GONZÁLEZ MORALES
49,DEBATES ÉTICOS CONTEMPORÁNEOS Y DERECHOS HUMANOS,A,MIÉRCOLES/16-19/AUDITORIO EDIF. G, , , ,FERNANDO AGUAS ÁNGEL
50,DESARROLLO HISTÓRICO DE LA FÍSICA MODERNA,A,MIÉRCOLES/10-12/AUDITORIO DEL EDIF. B,VIERNES/10-11/AUDITORIO DEL EDIFICIO B, , ,JUAN BARRANCO MONARCA
51,DISEÑO DE PROCESOS,A,MARTES/8-10/ F6,VIERNES/8-10/ CENTRO DE CÓMPUTO 2, , , 
52,ECUACIONES DIFERENCIALES ORDINARIAS,A,LUNES/10-12/C2,JUEVES/10-12/F7, , ,FRANCISCO MIGUEL VARGAS LUNA
53,ECUACIONES DIFERENCIALES ORDINARIAS,B,LUNES/12-14/F5,MIÉRCOLES/12-14/F5, , ,FRANCISCO MIGUEL VARGAS LUNA
54,ECUACIONES DIFERENCIALES ORDINARIAS,C,MARTES/17-19/F5,JUEVES/17-19/F5, , ,LUIS ARTURO UREÑA LÓPEZ
55,ECUACIONES DIFERENCIALES PARCIALES,A,MIÉRCOLES/8-10/F2,VIERNES/10-12/C2, , ,CARLOS ANDRÉS SAAVEDRA SALAZAR
56,ELECTRICIDAD Y MAGNETISMO,A-VI,MARTES/10-12/F6,JUEVES/10-12/F6,"VIERNES/8-10/LAB. DE FÍSICA MODERNA,  EDIF. G", ,JULIÁN FÉLIX VALDEZ/GERARDO GUTIÉRREZ JUÁREZ
57,ELECTRICIDAD Y MAGNETISMO,A-VII,MARTES/10-12/F6,JUEVES/10-12/F6,"LUNES/10-12/LAB. DE FÍSICA MODERNA, EDIF. G", ,JULIÁN FÉLIX VALDEZ/JOSÉ SOCORRO GARCÍA DÍAZ
58,ELECTRICIDAD Y MAGNETISMO,B-IX,JUEVES/10-12/F5,VIERNES/10-12/F5,"VIERNES/12-14/LAB. DE FÍSICA MODERNA, EDIF. G", ,ERICK SARMIENTO GÓMEZ/ GEORFREY HUMBERTO ISRAEL MAURY CUNA
59,ELECTRICIDAD Y MAGNETISMO,B-V,JUEVES/10-12/F5,VIERNES/10-12/F5,"LUNES/12-14/LAB. DE FÍSICA MODERNA, EDIF. G", ,ERICK SARMIENTO GÓMEZ/JULIÁN FÉLIX VALDEZ
60,ELECTRICIDAD Y MAGNETISMO,C-III,LUNES/10-12/F8,JUEVES/12-14/G1,"MIÉRCOLES/10-12/LAB. DE FÍSICA MODERNA, EDIF. G", ,GEORFREY HUMBERTO ISRAEL MAURY CUNA/JULIÁN FÉLIX VALDEZ
61,ELECTRICIDAD Y MAGNETISMO,C-IV,LUNES/10-12/F8,JUEVES/12-14/G1,"MARTES/10-12/LAB. DE FÍSICA MODERNA, EDIF. G", ,GEORFREY HUMBERTO ISRAEL MAURY CUNA
62,ELECTRICIDAD Y MAGNETISMO,D-I,LUNES/12-14/F1,VIERNES/12-14/F2,"JUEVES/8-10/LAB. DE FÍSICA MODERNA, EDIF. G ", ,GERARDO GUTIÉRREZ JUÁREZ/JULIÁN FÉLIX VALDEZ
63,ELECTRICIDAD Y MAGNETISMO,D-II,LUNES/12-14/F1,VIERNES/12-14/F2,"MIÉRCOLES/12-14/LAB. DE FÍSICA MODERNA, EDIF. G", ,GERARDO GUTIÉRREZ JUÁREZ/JULIÁN FÉLIX VALDEZ
64,ELECTRICIDAD Y MAGNETISMO,E-V,LUNES/15-17/F6,VIERNES/15-17/F6,"LUNES/12-14/LAB. DE FÍSICA MODERNA, EDIF. G", ,PENDIENTE/ JULIÁN FÉLIX VALDEZ
65,ELECTRICIDAD Y MAGNETISMO,E-VIII,LUNES/15-17/F6,VIERNES/15-17/F6,"JUEVES/12-14/LAB. DE FÍSICA MODERNAL, EDIF. G", ,PENDIENTE/ LENIN FRANCISCO ESCAMILLA HERRERA
66,ELECTROMAGNETISMO ,A,LUNES/8-10/ G1,MARTES/10-12/ F7, , ,CARLOS ANDRÉS SAAVEDRA SALAZAR
67,ELECTROMAGNETISMO ,B,MARTES/8-10/F7,JUEVES/8-10/ F7, , ,RAMÓN CASTAÑEDA PRIEGO
68,ESTRUCTURA DE LA MATERIA,A,MIÉRCOLES/12-13/ AUDITORIO EDIF. G,JUEVES/10-12/C3, , ,LEONARDO ÁLVAREZ VALTIERRA
69,EVALUACIÓN DE TECNOLOGÍA HOSPITALARIA ,A,MARTES/17-19/F9,JUEVES/17-19/F9, , ,JOSÉ GONZÁLEZ CRUZ
70,FENOMENOLOGÍA DE LAS PARTÍCULAS ELEMENTALES,A,VIERNES/10-14/SALA DE JUNTAS EDIF. A, , , ,DAVID YVES GHISLAIN DELEPINE
71,FENÓMENOS DE TRANSPORTE,A,MIÉRCOLES/8-10/F5,VIERNES/8-10/F5, , ,IRAÍS AMARANTA QUINTERO ORTEGA
72,FÍSICA CUÁNTICA,A-I,LUNES/15-17/F1,MIÉRCOLES/15-17/F1,"JUEVES/14-16/LAB. DE FÍSICA MODERNA, EDIF. G", ,JOSÉ LUIS LUCIO MARTÍNEZ/PENDIENTE
73,FÍSICA CUÁNTICA,A-II,LUNES/15-17/F1,MIÉRCOLES/15-17/F1,"MIÉRCOLES/8-10/LAB DE FÍSICA MODERNA,  EDIF. G", ,JOSÉ LUIS LUCIO MARTÍNEZ/PENDIENTE
74,FÍSICA DE LÁSERES,A,LUNES/17-19/F9,MIÉRCOLES/17-19/F9 , , ,GILBERTO ANZUETO SÁNCHEZ
75,FÍSICA GENERAL,A-II,MARTES/10-12/AUDITORIO G,VIERNES/8-10/ AUDITORIO G,"LUNES/10-12/LAB. DE FÍSICA CLÁSICA, EDIFICIO C", ,FRANCISCO ALARCÓN OSEGUERA / MODESTO ANTONIO SOSA AQUINO
76,FÍSICA GENERAL,A-III,MARTES/10-12/AUDITORIO G,VIERNES/8-10/ AUDITORIO G,"MIÉRCOLES/8-10/LAB. DE FÍSICA CLÁSICA, EDIFICIO C", ,FRANCISCO ALARCÓN OSEGUERA/ JOSÉ MIGUEL RAMOS MORENO
77,FÍSICA GENERAL,B-I,JUEVES/12-14/AUDITORIO EDIF. G,VIERNES/8-10/C2,"MARTES/8-10/LAB. DE FÍSICA CLÁSICA, EDIFICIO C", ,ARGELIA BERNAL BAUTISTA/JOSÉ SOCORRO GARCÍA DÍAZ
78,FÍSICA RELATIVISTA,A,MIÉRCOLES/10-12/F2,VIERNES/10-12/F2, , ,ÓSCAR GERARDO LOAIZA BRITO
79,FÍSICA RELATIVISTA,B,LUNES/8-10/C3,MIÉRCOLES/8-10/F8, , ,JOSÉ LUIS LÓPEZ PICÓN
