index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS
112,LABORATORIO DE ASTRONOMÍA,A,LUNES/16-20/AUDITORIO DEL EDIFICIO B, , , ,KLAUS-PETER SCHRÖDER/JUAN PABLO TORRES PAPAQUI
113,LABORATORIO DE FENÓMENOS DE TRANSPORTE,A,JUEVES/12-16/LAB. DE IQS EDIF. G, , , , 
114,LABORATORIO DE FENÓMENOS DE TRANSPORTE,B,VIERNES/12-16/LAB. DE IQS EDIF. G, , , , 
115,LABORATORIO DE PROCESOS DE SEPARACIÓN,A,MIÉRCOLES/12-16/LAB. DE IQS EDIF. G, , , ,JOSÉ DE JESÚS IBARRA SÁNCHEZ
116,LABORATORIO DE PROCESOS DE SEPARACIÓN,B,LUNES/8-12/LAB. DE IQS, , , , 
117,LABORATORIO DE REACTORES,A,MARTES/12-15/LAB. DE IQS EDIF. G, , , ,IRAÍS AMARANTA QUINTERO ORTEGA
118,LABORATORIO DE SIMULACIÓN DE PROCESOS,A,MIÉRCOLES/10-12/CENTRO DE CÓMPUTO 2,SÁBADO/12-13/ CENTRO DE CÓMPUTO 2, , , 
119,MATEMÁTICAS SUPERIORES,A,LUNES/12-14/AUDITORIO G,JUEVES/10-12/AUDITORIO G,VIERNES/12-14/AUDITORIO G, ,OWEN PAVEL FERNÁNDEZ PIEDRA
120,MATEMÁTICAS SUPERIORES,B,LUNES/8-10/ F1,MARTES/8-10/F5,JUEVES/8-10/F2, ,MA. ISABEL DELGADILLO CANO
121,MECÁNICA ANALÍTICA,A,LUNES/12-14/G1,MIÉRCOLES/12-14/F8, , ,MARCO ANTONIO REYES SANTOS
122,MECÁNICA CLÁSICA ,A-I,MIÉRCOLES/8-10/ G1,VIERNES/8-10/G1,"VIERNES/12-14/LAB. DE FÍSICA CLÁSICA, EDIFICIO C", ,JOSÉ DE JESÚS BERNAL ALVARADO
123,MECÁNICA CLÁSICA ,A-VI,MIÉRCOLES/8-10/ G1,VIERNES/8-10/G1,"JUEVES/8-10/LAB. DE FÍSICA CLÁSICA, EDIFICIO C", ,JOSÉ DE JESÚS BERNAL ALVARADO/JOSÉ SOCORRO GARCÍA DÍAZ
124,MECÁNICA CLÁSICA ,B-II,MARTES/12-14/F2,JUEVES/12-14/F2,"MIÉRCOLES/12-14/LAB. DE FÍSICA CLÁSICA, EDIFICIO C", , 
125,MECÁNICA CLÁSICA ,C-IV,MIÉRCOLES/10-12/F9,VIERNES/10-12/F1,"VIERNES/8-10/LAB. DE FÍSICA CLÁSICA, EDIFICIO C", , 
126,MECÁNICA CLÁSICA ,D-III,MARTES/12-14/F7,VIERNES/8-10/F6,"VIERNES/10-12/LAB. DE FÍSICA CLÁSICA, EDIFICIO C", ,PENDIENTE/JOSÉ SOCORRO GARCÍA DÍAZ
127,MECÁNICA CLÁSICA ,E-V,MARTES/17-19/G1,JUEVES/17-19/G1,"MARTES/10-12/LAB. DE FÍSICA CLÁSICA, EDIFICIO C", ,PENDIENTE/NATALIA RINCÓN LONDOÑO
128,MECÁNICA CUÁNTICA,A,LUNES/8-10/F6,MIÉRCOLES/8-10/F6, , ,ÓSCAR GERARDO LOAIZA BRITO
129,MECÁNICA CUÁNTICA,B,MARTES/10-12/G1,JUEVES/10-12/F9, , ,JOSÉ LUIS LUCIO MARTÍNEZ
130,MECÁNICA CUÁNTICA RELATIVISTA,A,LUNES/10-12/SALA DE JUNTAS EDIF. A,JUEVES/8-10/SALA DE JUNTAS EDIF. A, , ,DAVID YVES GHISLAIN DELEPINE
131,MECÁNICA DE MEDIOS CONTINUOS ,A-I,LUNES/8-10/F5,MIÉRCOLES/8-10/F1,"MARTES/10-12/LAB. DE TERMODINÁMICA, EDIF G", ,MANUEL MARTÍNEZ JIMÉNEZ/PENDIENTE
132,MECÁNICA DE MEDIOS CONTINUOS ,A-II,LUNES/8-10/F5,MIÉRCOLES/8-10/F1,"MIÉRCOLES/10-12/LAB. DE TERMODINÁMICA, EDIF. G", ,MANUEL MARTÍNEZ JIMÉNEZ/PENDIENTE
133,MECÁNICA ESTADÍSTICA ,A,LUNES/8-10/F7,MIÉRCOLES/8-10/F7, , ,RAMÓN CASTAÑEDA PRIEGO
134,MECÁNICA ESTADÍSTICA ,B,LUNES/10-12/F6,JUEVES/8-10/F6, , ,ERICK SARMIENTO GÓMEZ
135,MEDICIÓN E INSTRUMENTACIÓN,A,LUNES/8-12/LAB. DE ELECTRÓNICA EDIF. G,MIÉRCOLES/10-12/ LAB. DE ELECTRÓNICA EDIF. G, , ,EDUARDO MONTES RAMÍREZ
136,MÉTODOS NUMÉRICOS,A,MARTES/10-12/CENTRO DE CÓMPUTO 1,MIÉRCOLES/10-12/CENTRO DE CÓMPUTO 1,VIERNES/10-12/ CENTRO DE CÓMPUTO 1, ,KARLA ADRIANA ÁLAMO MARTÍNEZ
137,MÉTODOS NUMÉRICOS,B,MARTES/15-17/CENTRO DE CÓMPUTO 2,JUEVES/15-17/CENTRO DE CÓMPUTO 2,VIERNES/15-17/CENTRO DE CÓMPUTO 2, ,GUSTAVO GUTIÉRREZ CANO
138,MÉTODOS NUMÉRICOS,C,LUNES/15-17/ CENTRO DE CÓMPUTO 1,MIÉRCOLES/15-17/CENTRO DE CÓMPUTO 1,VIERNES/15-17/CENTRO DE CÓMPUTO 1, , 
139,MODELO ESTÁNDAR DE LAS PARTÍCULAS FUNDAMENTALES,A,MARTES/17-19/C3,JUEVES/17-19/C3, , ,MAURO NAPSUCIALE MENDIVIL
140,ÓPTICA,A-I,LUNES/15-17/F9,MIÉRCOLES/15-17/F9,"JUEVES/10-12/LAB. DE FÍSICA MODERNA, EDIF. G", ,RIGOBERTO CASTRO BELTRÁN
