_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,DAY1,TIME1,DAY2,TIME2,DAY3,TIME3,DAY4,TIME4
45,46,CINETICA QUIMICA Y CATALISIS,A-II,LUNES/12-14/F9,JUEVES/10-11/F6,"MARTES/11-14/LAB. DE QUIMICA, EDIF. G",,LEONARDO ALVAREZ VALTIERRA,LEONARDO ALVAREZ VALTIERRA,,,LUNES,12-14,JUEVES,10-11,MARTES,11-14,,
46,47,COMUNICACION ORAL Y ESCRITA,A,MARTES/15-18/AUDITORIO DEL EDIF. G,,,,MA. DEL CARMEN VARELA CHAVEZ,MA. DEL CARMEN VARELA CHAVEZ,,,MARTES,15-18,,,,,,
47,48,DESARROLLO HISTORICO DE LA FISICA MODERNA,A,LUNES/13-14/AUDITORIO DEL EDIF. B,JUEVES/12-14/AUDITORIO DEL EDIF. G,,,RAMON CASTANEDA PRIEGO,RAMON CASTANEDA PRIEGO,,,LUNES,13-14,JUEVES,12-14,,,,
48,49,DISENO DE PROCESOS,A,MARTES/15-17/CENTRO DE COMPUTO 2,JUEVES/15-17/CENTRO DE COMPUTO 2,,,CARLOS EDUARDO MOLINA GUERRERO,CARLOS EDUARDO MOLINA GUERRERO,,,MARTES,15-17,JUEVES,15-17,,,,
49,50,ECUACIONES DIFERENCIALES ORDINARIAS,A,MARTES/10-12/F6,VIERNES/8-10/F6,,,FRANCISCO MIGUEL VARGAS LUNA,FRANCISCO MIGUEL VARGAS LUNA,,,MARTES,10-12,VIERNES,8-10,,,,
50,51,ECUACIONES DIFERENCIALES ORDINARIAS,B,MARTES/10-12/G1,JUEVES/8-10/AUDITORIO DEL EDIF. G,,,MANUEL MARTINEZ JIMENEZ,MANUEL MARTINEZ JIMENEZ,,,MARTES,10-12,JUEVES,8-10,,,,
51,52,ECUACIONES DIFERENCIALES ORDINARIAS,C,MARTES/8-10/F2,JUEVES/10-12/G1,,,CARLOS HERMAN WIECHERS MEDINA,CARLOS HERMAN WIECHERS MEDINA,,,MARTES,8-10,JUEVES,10-12,,,,
52,53,ECUACIONES DIFERENCIALES ORDINARIAS,D,LUNES/15-17/F7,MIERCOLES/15-17/F7,,,GEMMA ELIZABETH PEREZ CUELLAR,GEMMA ELIZABETH PEREZ CUELLAR,,,LUNES,15-17,MIERCOLES,15-17,,,,
53,54,ECUACIONES DIFERENCIALES ORDINARIAS,E,MARTES/15-17/F2,JUEVES/15-17/F2,,,LUIS ARTURO URENA LOPEZ,LUIS ARTURO URENA LOPEZ,,,MARTES,15-17,JUEVES,15-17,,,,
54,55,ECUACIONES DIFERENCIALES PARCIALES,A,LUNES/8-10/AUDITORIO EDIF. G,MIERCOLES/8-10/AUDITORIO EDIF. G,,,DAVID YVES GHISLAIN DELEPINE,DAVID YVES GHISLAIN DELEPINE,,,LUNES,8-10,MIERCOLES,8-10,,,,
