_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,DAY1,TIME1,DAY2,TIME2,DAY3,TIME3,DAY4,TIME4
99,100,"FLUIDOS, ONDAS Y TEMPERATURA",B-IV,LUNES/8-10/G1,JUEVES/12-14/G1,"MIERCOLES/8-10/LAB. DE TERMODINAMICA, EDIF. G",,LENIN FRANCISCO ESCAMILLA HERRERA,LENIN FRANCISCO ESCAMILLA HERRERA,,,LUNES,8-10,JUEVES,12-14,MIERCOLES,8-10,,
100,101,"FLUIDOS, ONDAS Y TEMPERATURA",B-V,LUNES/8-10/G1,JUEVES/12-14/G1,LUNES/10-12/LAB. DE TERMODINAMICAEDIF. G,,LENIN FRANCISCO ESCAMILLA HERRERA / NATALIA RINCON LONDONO,LENIN FRANCISCO ESCAMILLA HERRERA,NATALIA RINCON LONDONO,,LUNES,8-10,JUEVES,12-14,LUNES,10-12,,
101,102,"FLUIDOS, ONDAS Y TEMPERATURA",B-VI,LUNES/8-10/G1,JUEVES/12-14/G1,"VIERNES/12-14/LAB. DE TERMODINAMICA, EDIF. G",,LENIN FRANCISCO ESCAMILLA HERRERA / MIGUEL ANGEL HONORATO COLIN,LENIN FRANCISCO ESCAMILLA HERRERA,MIGUEL ANGEL HONORATO COLIN,,LUNES,8-10,JUEVES,12-14,VIERNES,12-14,,
102,103,"FLUIDOS, ONDAS Y TEMPERATURA",C-IV,MARTES/12-14/F8,MIERCOLES/10-12/F5,"MIERCOLES/8-10/LAB. DE TERMODINAMICA, EDIF. G",,ANA LAURA BENAVIDES OBREGON / LENIN FRANCISCO ESCAMILLA HERRERA,ANA LAURA BENAVIDES OBREGON,LENIN FRANCISCO ESCAMILLA HERRERA,,MARTES,12-14,MIERCOLES,10-12,MIERCOLES,8-10,,
103,104,"FLUIDOS, ONDAS Y TEMPERATURA",C-IX,MARTES/12-14/F8,MIERCOLES/10-12/F5,"MARTES/10-12/LAB. DE TERMODINAMICA, EDIF. G",,ANA LAURA BENAVIDES OBREGON /JOSUE ADIN MINGUELA GALLARDO,ANA LAURA BENAVIDES OBREGON,JOSUE ADIN MINGUELA GALLARDO,,MARTES,12-14,MIERCOLES,10-12,MARTES,10-12,,
104,105,"FLUIDOS, ONDAS Y TEMPERATURA",C-VII,MARTES/12-14/F8,MIERCOLES/10-12/F5,"JUEVES/12-14/LAB. DE TERMODINAMICA, EDIF. G",,ANA LAURA BENAVIDES OBREGON /MIGUEL ANGEL HONORATO COLIN,ANA LAURA BENAVIDES OBREGON,MIGUEL ANGEL HONORATO COLIN,,MARTES,12-14,MIERCOLES,10-12,JUEVES,12-14,,
105,106,"FLUIDOS, ONDAS Y TEMPERATURA",D-II,LUNES/10-12/F6,MIERCOLES/12-14/F8,"MARTES/8-10/LAB. DE TERMODINAMICA, EDIF. G",,ANA LAURA BENAVIDES OBREGON / NATALIA RINCON LONDONO,ANA LAURA BENAVIDES OBREGON,NATALIA RINCON LONDONO,,LUNES,10-12,MIERCOLES,12-14,MARTES,8-10,,
106,107,"FLUIDOS, ONDAS Y TEMPERATURA",D-VIII,LUNES/10-12/F6,MIERCOLES/12-14/F8,"LUNES/12-14/LAB. DE TERMODINAMICA, EDIF. G",,ANA LAURA BENAVIDES OBREGON /MIGUEL ANGEL HONORATO COLIN,ANA LAURA BENAVIDES OBREGON,MIGUEL ANGEL HONORATO COLIN,,LUNES,10-12,MIERCOLES,12-14,LUNES,12-14,,
107,108,FUNCIONES ESPECIALES,A,MARTES/10-12/C2,VIERNES/10-12/C2,,,DAVID YVES GHISLAIN DELEPINE,DAVID YVES GHISLAIN DELEPINE,,,MARTES,10-12,VIERNES,10-12,,,,
108,109,FUNDAMENTOS FILOSOFICO EPISTEMOLOGICOS,A,VIERNES/12-15/F2,,,,MA. DEL CARMEN VARELA CHAVEZ,MA. DEL CARMEN VARELA CHAVEZ,,,VIERNES,12-15,,,,,,
109,110,FUNDAMIENTOS DE PROCESAMIENTO DIGITAL DE IMAGENES,A,MARTES/10-12/CENTRO DE COMPUTO 2,JUEVES/10-12/CENTRO DE COMPUTO 2,,,ARTURO GONZALEZ VEGA,ARTURO GONZALEZ VEGA,,,MARTES,10-12,JUEVES,10-12,,,,
110,111,FUNDAMIENTOS DE PROCESAMIENTO DIGITAL DE SENALES,A,LUNES/8-10/CENTRO DE COMPUTO 2,MIERCOLES/8-10/CENTRO DE COMPUTO2,,,ARTURO GONZALEZ VEGA,ARTURO GONZALEZ VEGA,,,LUNES,8-10,MIERCOLES,8-10,,,,
111,112,HERRAMIENTAS INFORMATICAS Y GESTION DE LA INFORMACION,A,VIERNES/15-18/CENTRO DE COMPUTO 2,,,,ALMA XOCHITL GONZALEZ MORALES,ALMA XOCHITL GONZALEZ MORALES,,,VIERNES,15-18,,,,,,
112,113,INGENIERIA AMBIENTAL DE AGUA Y SUELOS,A,MARTES/16-18/SALA DE JUNTAS DEL EDIF. B,"MIERCOLES/16-18/LAB. DE INGENIERIA QUIMICA, EDIF. G",,,EDGAR VAZQUEZ NUNEZ,EDGAR VAZQUEZ NUNEZ,,,MARTES,16-18,MIERCOLES,16-18,,,,
113,114,"INGENIERIA AMBIENTAL DE NORMAS, GESTION Y AUDITORIAS",A,MARTES/15-16/ SALA DE JUNTAS EDIF. B,JUEVES/15-16/SALA DE JUNTAS EDIF. B,VIERNES/15-17/C3,,EDGAR VAZQUEZ NUNEZ,EDGAR VAZQUEZ NUNEZ,,,MARTES,15-16,JUEVES,15-16,VIERNES,15-17,,
114,115,INGENIERIA DE CALOR,A,MARTES/15-17/F6,JUEVES/15-17/F6,,,JOSE DE JESUS IBARRA SANCHEZ,JOSE DE JESUS IBARRA SANCHEZ,,,MARTES,15-17,JUEVES,15-17,,,,
115,116,INGENIERIA DE CONTROL,A,"LUNES/12-16/LAB. DE ELECTRONICA, EDIF G","JUEVES/12-14/LAB. DE ELECTRONICA, EDIF. D",,,SAMUEL ALEJANDRO JUAREZ SANCHEZ/CARLOS VILLASENOR MORA,SAMUEL ALEJANDRO JUAREZ SANCHEZ,CARLOS VILLASENOR MORA,,LUNES,12-16,JUEVES,12-14,,,,
116,117,INGENIERIA DE CONTROL DE PROCESOS,A,LUNES/15-17/CENTRO DE COMPUTO 2,MIERCOLES/15-17/CENTRO DE COMPUTO 2,,,JOSE DE JESUS IBARRA SANCHEZ,JOSE DE JESUS IBARRA SANCHEZ,,,LUNES,15-17,MIERCOLES,15-17,,,,
117,118,INGENIERIA DE FLUIDOS,A,LUNES/17-19/F7,MIERCOLES/17-19/F7,,,JOSE FERNANDO HERNANDEZ RODRIGUEZ,JOSE FERNANDO HERNANDEZ RODRIGUEZ,,,LUNES,17-19,MIERCOLES,17-19,,,,
118,119,INGENIERIA DE PROYECTOS,A,MARTES/8-10/ CENTRO DE COMPUTO 2,JUEVES/12-15/C3,,,CHRISTIAN FELIPE RODRIGUEZ ROBLES,CHRISTIAN FELIPE RODRIGUEZ ROBLES,,,MARTES,8-10,JUEVES,12-15,,,,
119,120,INGENIERIA DE REACTORES HETEROGENEOS,A,"MIERCOLES/8-10/ LAB. DE IQ., EDIF. G","VIERNES/8-10/ LAB. DE IQ., EDIF. G",,,MARIO ROSALES RETANA,MARIO ROSALES RETANA,,,MIERCOLES,8-10,VIERNES,8-10,,,,
120,121,INGENIERIA DE REACTORES HOMOGENEOS,A,MARTES/15-17/F8,JUEVES/15-17/F8,,,IRAIS AMARANTA QUINTERO ORTEGA,IRAIS AMARANTA QUINTERO ORTEGA,,,MARTES,15-17,JUEVES,15-17,,,,
121,122,INGENIERIA ECONOMICA,A,VIERNES/12-15/F1,,,,JUAN FRANCISCO RAYAS ROJAS,JUAN FRANCISCO RAYAS ROJAS,,,VIERNES,12-15,,,,,,
122,123,INGLES I,A,MARTES/13-16/F9,,,,MARIA XOCHITL ZUNIGA CARDENAS,MARIA XOCHITL ZUNIGA CARDENAS,,,MARTES,13-16,,,,,,
123,124,INGLES I,B,VIERNES/12-15/C2,,,,DENIA NAVARRO VILLAFANA,DENIA NAVARRO VILLAFANA,,,VIERNES,12-15,,,,,,
124,125,INGLES II,A,JUEVES/13-16/F7,,,,MARIA XOCHITL ZUNIGA CARDENAS,MARIA XOCHITL ZUNIGA CARDENAS,,,JUEVES,13-16,,,,,,
125,126,INGLES III,A,LUNES/14-15:30/C3,MIERCOLES/14-15:30/C3,,,DENIA NAVARRO VILLAFANA,DENIA NAVARRO VILLAFANA,,,LUNES,14-15:30,MIERCOLES,14-15:30,,,,
126,127,INSTRUMENTACION MEDICA,A,"LUNES/16-19/LAB. DE ELECTRONICA, EDIF.G","MIERCOLES/16-18/LAB. DE ELECTRONICA, EDIF G",,,MARYSOL PEREZ GARCIA,MARYSOL PEREZ GARCIA,,,LUNES,16-19,MIERCOLES,16-18,,,,
127,128,INTRODUCCION A LA METODOLOGIA DE LA INVESTIGACION,A,MARTES/15-18/F7,,,,FERNANDO AGUAS ANGEL,FERNANDO AGUAS ANGEL,,,MARTES,15-18,,,,,,
128,129,INTRODUCCION A LA TEORIA DE CUERDAS,A,LUNES/8-10/SALA DEJUNTAS EDIFICIO B,MIERCOLES//SALA DE JUNTAS EDIFICIO B,,,OSCAR GERARDO LOAIZA BRITO,OSCAR GERARDO LOAIZA BRITO,,,LUNES,8-10,MIERCOLES,,,,,
129,130,INVESTIGACION DE OPERACIONES,A,MARTES/10-12/AUDITORIO DEL EDIF. B,VIERNES/10-12/F5,,,LUIS ERNESTO MANCILLA ESPINOZA,LUIS ERNESTO MANCILLA ESPINOZA,,,MARTES,10-12,VIERNES,10-12,,,,
130,131,LABORATORIO DE ASTRONOMIA,A,LUNES/16-20/AUDITORIO DEL EDIF. B,,,,JUAN PABLO TORRES PAPAPQUI/KLAUS-PETER SCHRODER,JUAN PABLO TORRES PAPAPQUI,KLAUS-PETER SCHRODER,,LUNES,16-20,,,,,,
131,132,LABORATORIO DE FENOMENOS DE TRANSPORTE,A,"JUEVES/8-12/LAB. DE INGENIERIA QUIMICA, EDIF G",,,,EDGAR VAZQUEZ NUNEZ,EDGAR VAZQUEZ NUNEZ,,,JUEVES,8-12,,,,,,
132,133,LABORATORIO DE PROCESOS DE SEPARACION,A,MARTES/10-14/LAB. DE IQ. EDIF. G,,,,SARAHI GARCIA CARVAJAL,SARAHI GARCIA CARVAJAL,,,MARTES,10-14,,,,,,
133,134,LABORATORIO DE REACTORES,A,"MIERCOLES/10-14/LAB. DE IQ, EDIF. G",,,,IRAIS AMARANTA QUINTERO ORTEGA,IRAIS AMARANTA QUINTERO ORTEGA,,,MIERCOLES,10-14,,,,,,
134,135,LABORATORIO DE SIMULACION DE PROCESOS,A,MARTES/17-19/CENTRO DE COMPUTO 2,JUEVES/17-18/CENTRO DE COMPUTO 2,,,JOSE DE JESUS IBARRA SANCHEZ,JOSE DE JESUS IBARRA SANCHEZ,,,MARTES,17-19,JUEVES,17-18,,,,
135,136,MATEMATICAS SUPERIORES,A,LUNES/8-10/F1,MIERCOLES/8-10/F1,VIERNES/8-10/F1,,JOSE SOCORRO GARCIA DIAZ,JOSE SOCORRO GARCIA DIAZ,,,LUNES,8-10,MIERCOLES,8-10,VIERNES,8-10,,
136,137,MATEMATICAS SUPERIORES,B,MARTES/10-12/F2,JUEVES/10-12/F2,VIERNES/10-12/F2,,OSCAR MIGUEL SABIDO MORENO,OSCAR MIGUEL SABIDO MORENO,,,MARTES,10-12,JUEVES,10-12,VIERNES,10-12,,
137,138,MATEMATICAS SUPERIORES,C,LUNES/12-14/C2,MIERCOLES/12-14/C2,JUEVES/12-14/C2,,MA. ISABEL DELGADILLO CANO,MA. ISABEL DELGADILLO CANO,,,LUNES,12-14,MIERCOLES,12-14,JUEVES,12-14,,
138,139,MATEMATICAS SUPERIORES,D,LUNES/10-12/F5,MARTES/10-12/F5,JUEVES/10-12/F5,,MA. ISABEL DELGADILLO CANO,MA. ISABEL DELGADILLO CANO,,,LUNES,10-12,MARTES,10-12,JUEVES,10-12,,
139,140,MATEMATICAS SUPERIORES,E,LUNES/15-17/F5,MARTES/15-17/F5,JUEVES/15-17/F5,,ARMANDO ANDRES ROQUE ESTRADA,ARMANDO ANDRES ROQUE ESTRADA,,,LUNES,15-17,MARTES,15-17,JUEVES,15-17,,
140,141,MATEMATICAS SUPERIORES,F,MARTES/15-17/F1,MIERCOLES/15-17/F1,JUEVES/15-17/F1,,OWEN PAVEL FERNANDEZ PIEDRA,OWEN PAVEL FERNANDEZ PIEDRA,,,MARTES,15-17,MIERCOLES,15-17,JUEVES,15-17,,
141,142,MATEMATICAS SUPERIORES,G,LUNES/17-19/F2,MIERCOLES/17-19/F2,JUEVES/17-19/F2,,SAGRARIO SANTILLAN FLORES,SAGRARIO SANTILLAN FLORES,,,LUNES,17-19,MIERCOLES,17-19,JUEVES,17-19,,
142,143,MECANICA ANALITICA,A,MARTES/8-10/G1,JUEVES/8-10/G1,,,NANA GERALDINE CABO BIZET,NANA GERALDINE CABO BIZET,,,MARTES,8-10,JUEVES,8-10,,,,
143,144,MECANICA ANALITICA,B,MARTES/10-12/AUDITORIO DEL EDIF. G,VIERNES/10-12/AUDITORIO DEL EDIF. G,,,MARCO ANTONIO REYES SANTOS,MARCO ANTONIO REYES SANTOS,,,MARTES,10-12,VIERNES,10-12,,,,
144,145,MECANICA CLASICA,A-I,LUNES/12-14/F1,MIERCOLES/12-14/F1,"VIERNES/12-14/LAB. DE FISICA CLASICA, EDIF. C",,ALBERTO DIEZ TEJEDOR / ARON HERNANDEZ TRINIDAD,ALBERTO DIEZ TEJEDOR,ARON HERNANDEZ TRINIDAD,,LUNES,12-14,MIERCOLES,12-14,VIERNES,12-14,,
145,146,MECANICA CLASICA,A-II,LUNES/12-14/F1,MIERCOLES/12-14/F1,"VIERNES/10-12/LAB. DE FISICA CLASICA, EDIF. C",,ALBERTO DIEZ TEJEDOR / JOSE SOCORRO GARCIA DIAZ,ALBERTO DIEZ TEJEDOR,JOSE SOCORRO GARCIA DIAZ,,LUNES,12-14,MIERCOLES,12-14,VIERNES,10-12,,
146,147,MECANICA CLASICA,B-I,MARTES/10-12/F1,JUEVES/10-12/F1,"VIERNES/12-14/LAB. DE FISICA CLASICA, EDIF. C",,JOSE SOCORRO GARCIA DIAZ /ARON HERNANDEZ TRINIDAD,JOSE SOCORRO GARCIA DIAZ,ARON HERNANDEZ TRINIDAD,,MARTES,10-12,JUEVES,10-12,VIERNES,12-14,,
147,148,MECANICA CLASICA,B-II,MARTES/10-12/F1,JUEVES/10-12/F1,"VIERNES/10-12/LAB. DE FISICA CLASICA, EDIF. C",,JOSE SOCORRO GARCIA DIAZ,JOSE SOCORRO GARCIA DIAZ,,,MARTES,10-12,JUEVES,10-12,VIERNES,10-12,,
148,149,MECANICA CUANTICA,A,LUNES/10-12/AUDITORIO DEL EDIF. G,JUEVES/10-12/AUDITORIO DEL EDIF. G,,,DAVID YVES GHISLAIN DELEPINE,DAVID YVES GHISLAIN DELEPINE,,,LUNES,10-12,JUEVES,10-12,,,,
149,150,MECANICA DE MEDIOS CONTINUOS,A-I,LUNES/8-10/C3,MIERCOLES/8-10/C3,LUNES/10-12/LAB. DE QUIMICA EDIF. G,,JOSE JORGE DELGADO GARCIA,JOSE JORGE DELGADO GARCIA,,,LUNES,8-10,MIERCOLES,8-10,LUNES,10-12,,
150,151,MECANICA ESTADISTICA,A,LUNES/8-10/F7,MIERCOLES/8-10/F2,,,ALEJANDRO GIL-VILLEGAS MONTIEL,ALEJANDRO GIL-VILLEGAS MONTIEL,,,LUNES,8-10,MIERCOLES,8-10,,,,
151,152,MEDICION E INSTRUMENTACION,A,"MARTES/8-10/LAB. DE ELECTRONICA, EDIF. D","JUEVES/8-12/LAB. DE ELECTRONICA, EDIF. D",,,EDGAR VALENCIA RODRIGUEZ,EDGAR VALENCIA RODRIGUEZ,,,MARTES,8-10,JUEVES,8-12,,,,
152,153,MEDICION E INSTRUMENTACION,B,"MIERCOLES/12-16/LAB. DE ELECTRONICA, EDIF. D","VIERNES/8-10/LAB. DE ELECTRONICA, EDIF.D",,,SAMUEL ALEJANDRO JUAREZ SANCHEZ,SAMUEL ALEJANDRO JUAREZ SANCHEZ,,,MIERCOLES,12-16,VIERNES,8-10,,,,
153,154,MEDICION E INSTRUMENTACION,C,"MARTES/10-12/LAB. DE ELECTRONICA, EDIF. D","VIERNES/12-16/LAB. DE ELECTRONICA, EDIF. D",,,MIGUEL ANGEL NOGUERON PEREZ,MIGUEL ANGEL NOGUERON PEREZ,,,MARTES,10-12,VIERNES,12-16,,,,
154,155,MEDICION E INSTRUMENTACION,D,"LUNES/8-10/LAB. DE ELECTRONICA, EDIF. D","MARTES/12-16/LAB. DE ELECTRONICA, EDIF. D",,,CARLOS VILLASENOR MORA,CARLOS VILLASENOR MORA,,,LUNES,8-10,MARTES,12-16,,,,
155,156,METODOS NUMERICOS,A,LUNES/8-10/CENTRO DE COMPUTO 1,MIERCOLES/8-10/CENTRO DE COMPUTO 1,JUEVES/12-14/CENTRO DE COMPUTO 1,,HAYDEE HERNANDEZ ARELLANO,HAYDEE HERNANDEZ ARELLANO,,,LUNES,8-10,MIERCOLES,8-10,JUEVES,12-14,,
156,157,METODOS NUMERICOS,B,LUNES/10-12/CENTRO DE COMPUTO 2,MIERCOLES/10-12/CENTRO DE COMPUTO 2,VIERNES/10-12/CENTRO DE COMPUTO 2,,OWEN PAVEL FERNANDEZ PIEDRA,OWEN PAVEL FERNANDEZ PIEDRA,,,LUNES,10-12,MIERCOLES,10-12,VIERNES,10-12,,
157,158,METODOS NUMERICOS,C,LUNES/12-14/CENTRO DE COMPUTO 2,MIERCOLES/12-14/CENTRO DE COMPUTO 2,VIERNES/12-14/CENTRO DE COMPUTO 2,,JULIO CESAR ARMAS PEREZ,JULIO CESAR ARMAS PEREZ,,,LUNES,12-14,MIERCOLES,12-14,VIERNES,12-14,,
158,159,METODOS NUMERICOS,D,LUNES/15-17/CENTRO DE COMPUTO 1,MIERCOLES/15-17/CENTRO DE COMPUTO 1,VIERNES/15-17/CENTRO DE COMPUTO 1,,HAYDEE HERNANDEZ ARELLANO,HAYDEE HERNANDEZ ARELLANO,,,LUNES,15-17,MIERCOLES,15-17,VIERNES,15-17,,
159,160,METROLOGIA,A,LUNES/17-19/F8,MIERCOLES/17-19/F8,,,JORGE ALBERTO MOLINA GONZALEZ,JORGE ALBERTO MOLINA GONZALEZ,,,LUNES,17-19,MIERCOLES,17-19,,,,
160,161,NEUROFISIOLOGIA,A,LUNES/15-17/C2,MIERCOLES/15-17/C2,VIERNES/15-17/C2,,VICTOR HUGO HERNANDEZ GONZALEZ,VICTOR HUGO HERNANDEZ GONZALEZ,,,LUNES,15-17,MIERCOLES,15-17,VIERNES,15-17,,
161,162,NORMATIVIDAD EN INGENIERIA,A,LUNES/17-19/G1,MIERCOLES/17-19/G1,,,EDGAR GONZALEZ CAMPOS,EDGAR GONZALEZ CAMPOS,,,LUNES,17-19,MIERCOLES,17-19,,,,
162,163,OPTICA,A-I,LUNES/8-10/F8,MIERCOLES/8-10/F8,"MARTES/8-10/LAB. DE FISICA MODERNA, EDIF G.",,RIGOBERTO CASTRO BELTRAN,RIGOBERTO CASTRO BELTRAN,,,LUNES,8-10,MIERCOLES,8-10,MARTES,8-10,,
163,164,OPTICA,A-II,LUNES/8-10/F8,MIERCOLES/8-10/F8,"VIERNES/8-10/LAB. DE FISICA MODERNA, EDIF G.",,RIGOBERTO CASTRO BELTRAN,RIGOBERTO CASTRO BELTRAN,,,LUNES,8-10,MIERCOLES,8-10,VIERNES,8-10,,
164,165,OPTICA,B-III,JUEVES/8-10/F5,VIERNES/8-10/F8,"MIERCOLES/8-10/LAB. DE FISICA MODERNA, EDIF G.",,ERICK SARMIENTO GOMEZ,ERICK SARMIENTO GOMEZ,,,JUEVES,8-10,VIERNES,8-10,MIERCOLES,8-10,,
165,166,OPTICA,B-IV,JUEVES/8-10/F5,VIERNES/8-10/F8,"VIERNES/10-12/LAB. DE FISICA MODERNA, EDIF G.",,ERICK SARMIENTO GOMEZ,ERICK SARMIENTO GOMEZ,,,JUEVES,8-10,VIERNES,8-10,VIERNES,10-12,,
166,167,OPTIMIZACION Y SIMULACION DE PROCESOS,A,LUNES/17-19/CENTRO DE COMPUTO 2,MIERCOLES/17-19/CENTRO DE COMPUTO2,,,JOSE DE JESUS IBARRA SANCHEZ,JOSE DE JESUS IBARRA SANCHEZ,,,LUNES,17-19,MIERCOLES,17-19,,,,
167,168,PRINCIPIOS DE OPERACION DE EQUIPOS MEDICOS,A,LUNES/17-19/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA,MIERCOLES/17-19/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA,VIERNES/17-19/LAB. DE TECNOLOGIA E INNOVACION HOSPITALARIA,,JOSE GONZALEZ CRUZ,JOSE GONZALEZ CRUZ,,,LUNES,17-19,MIERCOLES,17-19,VIERNES,17-19,,
168,169,PROBABILIDAD Y ESTADISTICA,A,MARTES/10-12/F9,VIERNES/10-12/F9,,,KARLA ADRIANA ALAMO MARTINEZ,KARLA ADRIANA ALAMO MARTINEZ,,,MARTES,10-12,VIERNES,10-12,,,,
169,170,PROBABILIDAD Y ESTADISTICA,B,LUNES/8-10/F2,JUEVES/8-10/F2,,,MA. GUADALUPE LEON VERDIN,MA. GUADALUPE LEON VERDIN,,,LUNES,8-10,JUEVES,8-10,,,,
170,171,PROBLEMAS SOCIALES Y DEBATES CONTEMPORANEOS,A,MIERCOLES/16-19/AUDITORIO DEL EDIF. G,,,,FERNANDO AGUAS ANGEL,FERNANDO AGUAS ANGEL,,,MIERCOLES,16-19,,,,,,
171,172,PROCESOS DE SEPARACION,A,"LUNES/12-14/LAB. DE IQ., EDIF. G","VIERNES/10-12/LAB. DE IQ., EDIF. G",,,CHRISTIAN FELIPE RODRIGUEZ ROBLES,CHRISTIAN FELIPE RODRIGUEZ ROBLES,,,LUNES,12-14,VIERNES,10-12,,,,
172,173,PROGRAMACION BASICA,A,MARTES/8-10/CENTRO DE COMPUTO 1,JUEVES/8-10/CENTRO DE COMPUTO 1,,,ARTURO GONZALEZ VEGA,ARTURO GONZALEZ VEGA,,,MARTES,8-10,JUEVES,8-10,,,,
173,174,PROGRAMACION BASICA,B,MARTES/10-12/CENTRO DE COMPUTO 1,VIERNES/10-12/CENTRO DE COMPUTO 1,,,SAMUEL ALEJANDRO JUAREZ SANCHEZ,SAMUEL ALEJANDRO JUAREZ SANCHEZ,,,MARTES,10-12,VIERNES,10-12,,,,
174,175,PROGRAMACION BASICA,C,MARTES/15-17/CENTRO DE COMPUTO 1,JUEVES/15-17/CENTRO DE COMPUTO 1,,,ARTURO VEGA GONZALEZ,ARTURO VEGA GONZALEZ,,,MARTES,15-17,JUEVES,15-17,,,,
175,176,PROGRAMACION BASICA,D,LUNES/17-19/CENTRO DE COMPUTO 1,MIERCOLES/17-19/CENTRO DE COMPUTO 1,,,FRANCISCO XAVIER LINARES CEDENO,FRANCISCO XAVIER LINARES CEDENO,,,LUNES,17-19,MIERCOLES,17-19,,,,
176,177,PROGRAMACION BASICA,E,MARTES/12-14/CENTRO DE COMPUTO 1,VIERNES/13-15/CENTRO DE COMPUTO 1,,,MARYSOL PEREZ GARCIA,MARYSOL PEREZ GARCIA,,,MARTES,12-14,VIERNES,13-15,,,,
177,178,PROGRAMACION BASICA,F,MIERCOLES/10-12/CENTRO DE COMPUTO 1,VIERNES/8-10/CENTRO DE COMPUTO 1,,,IGNACIO RAUL ROSAS ROMAN,IGNACIO RAUL ROSAS ROMAN,,,MIERCOLES,10-12,VIERNES,8-10,,,,
178,179,PROGRAMACION BASICA,G,LUNES/10-12/CENTRO DE COMPUTO 1,JUEVES/10-12/CENTRO DE COMPUTO 1,,,ORLANDO MIGUEL MEDINA CAZARES,ORLANDO MIGUEL MEDINA CAZARES,,,LUNES,10-12,JUEVES,10-12,,,,
179,180,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,A,MARTES/12-14/CENTRO DE COMPUTO 2,JUEVES/12-14/CENTRO DE COMPUTO 2,VIERNES/8-10/CENTRO DE COMPUTO 2,,LUIS CARLOS PADIERNA GARCIA,LUIS CARLOS PADIERNA GARCIA,,,MARTES,12-14,JUEVES,12-14,VIERNES,8-10,,
180,181,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,B,LUNES/12-14/CENTRO DE COMPUTO 1,MIERCOLES/12-14/CENTRO DE COMPUTO 1,JUEVES/8-10/CENTRO DE COMPUTO 2,,LUIS ERNESTO MANCILLA ESPINOZA,LUIS ERNESTO MANCILLA ESPINOZA,,,LUNES,12-14,MIERCOLES,12-14,JUEVES,8-10,,
181,182,PROPIEDADES FISICOQUIMICAS,A-I,MIERCOLES/12-14/AUDITORIO DEL EDIF. B,JUEVES/12-14/F8,"VIERNES/8-10/LAB. DE QUIMICA, EDIF. F",,BIRZABITH MENDOZA NOVELO / ANGELICA JACQUELINE CHAVEZ MARTINEZ,BIRZABITH MENDOZA NOVELO,ANGELICA JACQUELINE CHAVEZ MARTINEZ,,MIERCOLES,12-14,JUEVES,12-14,VIERNES,8-10,,
182,183,PROPIEDADES FISICOQUIMICAS,A-II,MIERCOLES/12-14/AUDITORIO DEL EDIF. B,JUEVES/12-14/F8,"LUNES/10-12/LAB. DE QUIMICA, EDIF. F",,BIRZABITH MENDOZA NOVELO / ANGELICA JACQUELINE CHAVEZ MARTINEZ,BIRZABITH MENDOZA NOVELO,ANGELICA JACQUELINE CHAVEZ MARTINEZ,,MIERCOLES,12-14,JUEVES,12-14,LUNES,10-12,,
183,184,QUIMICA ANALITICA,A-I,LUNES/10-12/F7,VIERNES/13-14/F7,"JUEVES/12-15/LAB. DE QUIMICA, EDIF. F",,JOSE ANTONIO REYES AGUILERA,JOSE ANTONIO REYES AGUILERA,,,LUNES,10-12,VIERNES,13-14,JUEVES,12-15,,
184,185,QUIMICA ANALITICA,A-II,LUNES/10-12/F7,VIERNES/13-14/F7,"VIERNES/10-13/LAB. DE QUIMICA, EDIF. F",,JOSE ANTONIO REYES AGUILERA,JOSE ANTONIO REYES AGUILERA,,,LUNES,10-12,VIERNES,13-14,VIERNES,10-13,,
185,186,QUIMICA GENERAL,A-I,MIERCOLES/11-12/G1,VIERNES/8-10/G1,"MIERCOLES/8-11/LAB. DE QUIMICA, EDIF. G",,SUSANA FIGUEROA GERSTENMAIER / ANGELICA JACQUELINE CHAVEZ MARTINEZ,SUSANA FIGUEROA GERSTENMAIER,ANGELICA JACQUELINE CHAVEZ MARTINEZ,,MIERCOLES,11-12,VIERNES,8-10,MIERCOLES,8-11,,
186,187,QUIMICA GENERAL,A-IV,MIERCOLES/11-12/G1,VIERNES/8-10/G1,"VIERNES/12-15/LAB. DE QUIMICA, EDIF. G",,SUSANA FIGUEROA GERSTENMAIER / ESTHELA PAOLA GARCIA TEJEDA,SUSANA FIGUEROA GERSTENMAIER,ESTHELA PAOLA GARCIA TEJEDA,,MIERCOLES,11-12,VIERNES,8-10,VIERNES,12-15,,
187,188,QUIMICA GENERAL,A-X,MIERCOLES/11-12/G1,VIERNES/8-10/G1,"MIERCOLES/15-18/LAB. DE QUIMICA, EDIF. G",,SUSANA FIGUEROA GERSTENMAIER / JUAN ARTURO SORIA RAMIREZ,SUSANA FIGUEROA GERSTENMAIER,JUAN ARTURO SORIA RAMIREZ,,MIERCOLES,11-12,VIERNES,8-10,MIERCOLES,15-18,,
